# O(3P)+CO2(000; j=0) -> O(3P)+CO2(000; j') scattering, statistically averaged (3A2+3B2+3B1) potential energy surfaces
# Differential cross sections; packaged by M. Gacesa (marko.gacesa@nasa.gov), Apr 30 2019
# E = 3.129361 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.000000,3.720104333333e-10
0.100000,2.406331333333e-10
0.200000,6.062943666667e-11
0.300000,1.324882000000e-11
0.400000,9.626446333333e-12
0.500000,3.781284000000e-12
0.600000,2.324419000000e-12
0.700000,1.565737266667e-12
0.800000,9.533523666667e-13
0.900000,3.435747666667e-13
1.000000,3.246275000000e-13
1.100000,4.466754000000e-13
1.200000,1.547345266667e-13
1.300000,1.025132033333e-13
1.400000,1.627248266667e-13
1.500000,7.417901333333e-14
1.600000,2.542680633333e-14
1.700000,2.581582000000e-14
1.800000,3.220601333333e-14
1.900000,2.138284333333e-14
2.000000,1.116257766667e-14
2.100000,1.972389666667e-14
2.200000,1.758809000000e-14
2.300000,6.839272333333e-15
2.400000,9.452530000000e-15
2.500000,9.678288000000e-15
2.600000,6.609439000000e-15
2.700000,9.357879333333e-15
2.800000,9.415349666667e-15
2.900000,7.430902000000e-15
3.000000,7.401618000000e-15
3.100000,6.076382333333e-15
3.200000,6.031327333333e-15
3.300000,5.498305000000e-15
3.400000,4.554678333333e-15
3.500000,5.621378000000e-15
3.600000,4.880599333333e-15
3.700000,4.064863000000e-15
3.800000,4.191279666667e-15
3.900000,3.037067000000e-15
4.000000,2.909934333333e-15
4.100000,2.745080766667e-15
4.200000,2.392091266667e-15
4.300000,2.726133333333e-15
4.400000,2.128413000000e-15
4.500000,2.417023333333e-15
4.600000,2.414434666667e-15
4.700000,1.537231000000e-15
4.800000,1.713999000000e-15
4.900000,1.253723733333e-15
5.000000,1.169847900000e-15
5.100000,1.588330000000e-15
5.200000,1.148637300000e-15
5.300000,1.742727333333e-15
5.400000,1.647945666667e-15
5.500000,9.915261666667e-16
5.600000,1.213483800000e-15
5.700000,7.219889333333e-16
5.800000,7.651665000000e-16
5.900000,1.042263933333e-15
6.000000,6.610695000000e-16
6.100000,1.141048200000e-15
6.200000,1.028918766667e-15
6.300000,6.900190333333e-16
6.400000,7.867361666667e-16
6.500000,3.796331000000e-16
6.600000,5.157688666667e-16
6.700000,5.981629666667e-16
6.800000,4.069983666667e-16
6.900000,8.315556333333e-16
7.000000,7.234453333333e-16
7.100000,7.048289000000e-16
7.200000,7.561629666667e-16
7.300000,3.925016666667e-16
7.400000,5.627719333333e-16
7.500000,5.318064000000e-16
7.600000,4.018506000000e-16
7.700000,7.265206333333e-16
7.800000,5.892325000000e-16
7.900000,6.088974333333e-16
8.000000,5.954675333333e-16
8.100000,2.802576333333e-16
8.200000,3.714444666667e-16
8.300000,3.105059000000e-16
8.400000,2.289177666667e-16
8.500000,4.173424666667e-16
8.600000,3.145894666667e-16
8.700000,3.653604000000e-16
8.800000,3.390899000000e-16
8.900000,1.737981000000e-16
9.000000,2.576494333333e-16
9.100000,1.952406333333e-16
9.200000,1.713487833333e-16
9.300000,2.800241333333e-16
9.400000,2.228926000000e-16
9.500000,3.378683333333e-16
