# O(3P)+CO2(000; j=0) -> O(3P)+CO2(000; j') scattering, statistically averaged (3A2+3B2+3B1) potential energy surfaces
# Differential cross sections; packaged by M. Gacesa (marko.gacesa@nasa.gov), Apr 30 2019
# E = 2.385456 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.000000,3.457566333333e-10
0.100000,2.383060000000e-10
0.200000,7.621964666667e-11
0.300000,1.636440000000e-11
0.400000,8.978012666667e-12
0.500000,5.446021166667e-12
0.600000,2.847278333333e-12
0.700000,1.334913666667e-12
0.800000,1.320289766667e-12
0.900000,1.098432800000e-12
1.000000,4.181830666667e-13
1.100000,3.768792000000e-13
1.200000,4.542507000000e-13
1.300000,2.850689633333e-13
1.400000,1.227550633333e-13
1.500000,7.158139666667e-14
1.600000,1.134317800000e-13
1.700000,9.083429333333e-14
1.800000,2.676847866667e-14
1.900000,2.763662333333e-14
2.000000,4.374322333333e-14
2.100000,2.962290333333e-14
2.200000,1.134244933333e-14
2.300000,8.734555666667e-15
2.400000,1.534479200000e-14
2.500000,1.415429000000e-14
2.600000,8.004245666667e-15
2.700000,6.343538566667e-15
2.800000,8.319222000000e-15
2.900000,7.975263333333e-15
3.000000,5.875478000000e-15
3.100000,6.792956333333e-15
3.200000,7.092857666667e-15
3.300000,5.021570666667e-15
3.400000,4.954202000000e-15
3.500000,4.945895333333e-15
3.600000,4.610485666667e-15
3.700000,4.935513000000e-15
3.800000,4.068661333333e-15
3.900000,4.244279666667e-15
4.000000,4.570952333333e-15
4.100000,3.020513000000e-15
4.200000,2.741714333333e-15
4.300000,3.012769200000e-15
4.400000,2.763883333333e-15
4.500000,3.123208666667e-15
4.600000,2.586818000000e-15
4.700000,2.235502666667e-15
4.800000,2.443763000000e-15
4.900000,1.753675333333e-15
5.000000,1.626378333333e-15
5.100000,1.712407700000e-15
5.200000,1.469734633333e-15
5.300000,1.860487000000e-15
5.400000,1.589999000000e-15
5.500000,1.288072466667e-15
5.600000,1.454316333333e-15
5.700000,9.373418666667e-16
5.800000,8.939605000000e-16
5.900000,1.113929666667e-15
6.000000,8.996989000000e-16
6.100000,1.272589333333e-15
6.200000,1.160572666667e-15
6.300000,7.128683666667e-16
6.400000,8.458916000000e-16
6.500000,6.153595666667e-16
6.600000,5.887685666667e-16
6.700000,8.721868000000e-16
6.800000,6.331817333333e-16
6.900000,7.501064666667e-16
7.000000,7.930160000000e-16
7.100000,4.653742333333e-16
7.200000,5.114168666667e-16
7.300000,4.000790666667e-16
7.400000,3.616047000000e-16
7.500000,6.728515000000e-16
7.600000,5.662396000000e-16
7.700000,5.384560666667e-16
7.800000,5.561206333333e-16
7.900000,3.477640000000e-16
8.000000,4.681952000000e-16
8.100000,5.023698000000e-16
8.200000,4.058706333333e-16
8.300000,6.150565000000e-16
8.400000,5.749716000000e-16
8.500000,5.139314000000e-16
8.600000,5.561967000000e-16
8.700000,3.471217666667e-16
8.800000,3.549534000000e-16
8.900000,4.867549666667e-16
9.000000,4.090099000000e-16
9.100000,4.696594000000e-16
9.200000,4.065675666667e-16
9.300000,2.583897333333e-16
9.400000,3.026625000000e-16
9.500000,2.455828000000e-16
9.600000,1.989187000000e-16
9.700000,2.710279333333e-16
9.800000,2.187118000000e-16
9.900000,2.380803000000e-16
10.000000,2.369405666667e-16
10.100000,1.367046200000e-16
10.200000,1.565065366667e-16
10.300000,1.736146666667e-16
10.400000,1.720957333333e-16
10.500000,2.491914333333e-16
10.600000,2.139703666667e-16
10.700000,1.989302333333e-16
10.800000,2.343148333333e-16
10.900000,1.892876666667e-16
11.000000,1.992875333333e-16
11.100000,2.361582333333e-16
11.200000,2.110308333333e-16
11.300000,2.578878333333e-16
11.400000,2.560364333333e-16
11.500000,1.932379333333e-16
11.600000,1.958760666667e-16
11.700000,1.919444666667e-16
11.800000,1.812098666667e-16
11.900000,2.158593000000e-16
12.000000,1.859327666667e-16
12.100000,1.496325000000e-16
12.200000,1.499387333333e-16
12.300000,1.315121000000e-16
12.400000,1.199360200000e-16
12.500000,1.281403966667e-16
12.600000,1.070346733333e-16
12.700000,1.041520800000e-16
12.800000,1.049246633333e-16
12.900000,8.933075333333e-17
13.000000,8.520019000000e-17
13.100000,9.306289000000e-17
13.200000,9.232929333333e-17
13.300000,1.065802333333e-16
13.400000,1.054616766667e-16
13.500000,1.005207600000e-16
13.600000,1.085765200000e-16
13.700000,1.112561033333e-16
13.800000,1.127228033333e-16
13.900000,1.285143666667e-16
14.000000,1.243874300000e-16
14.100000,1.319121666667e-16
14.200000,1.354832666667e-16
14.300000,1.135236533333e-16
14.400000,1.109650433333e-16
14.500000,1.223034000000e-16
14.600000,1.162364833333e-16
14.700000,1.319628866667e-16
14.800000,1.175707466667e-16
14.900000,8.299924666667e-17
15.000000,8.708696666667e-17
15.100000,8.737564333333e-17
15.200000,8.117466666667e-17
15.300000,9.984699666667e-17
15.400000,8.019738000000e-17
15.500000,6.776430333333e-17
15.600000,7.793954000000e-17
15.700000,5.935850333333e-17
15.800000,5.404483000000e-17
15.900000,6.764947333333e-17
16.000000,5.962475000000e-17
16.100000,7.675053000000e-17
16.200000,7.461787000000e-17
16.300000,4.569608333333e-17
16.400000,4.610199000000e-17
16.500000,4.997630000000e-17
16.600000,5.795384333333e-17
16.700000,8.296745000000e-17
16.800000,6.399822333333e-17
16.900000,5.146822333333e-17
17.000000,5.917609333333e-17
17.100000,5.152009333333e-17
17.200000,6.421653000000e-17
17.300000,7.308656666667e-17
17.400000,5.416094666667e-17
17.500000,7.218784000000e-17
17.600000,7.533406666667e-17
17.700000,5.680220333333e-17
17.800000,6.237471666667e-17
17.900000,5.287755000000e-17
18.000000,5.303452333333e-17
18.100000,8.770736333333e-17
18.200000,7.478991666667e-17
18.300000,5.492880333333e-17
18.400000,5.414627666667e-17
18.500000,4.128842333333e-17
18.600000,5.847848333333e-17
18.700000,8.011084333333e-17
18.800000,5.421661333333e-17
18.900000,4.626217333333e-17
19.000000,4.614488000000e-17
19.100000,4.185637000000e-17
19.200000,5.664765000000e-17
19.300000,4.922344666667e-17
19.400000,2.753670333333e-17
19.500000,3.739144333333e-17
19.600000,4.182127333333e-17
19.700000,4.797308333333e-17
19.800000,4.797471000000e-17
19.900000,2.338605666667e-17
20.000000,1.996182000000e-17
20.100000,3.740409333333e-17
20.200000,4.123742000000e-17
20.300000,5.134009666667e-17
20.400000,4.068415333333e-17
20.500000,2.311793000000e-17
20.600000,3.550704333333e-17
20.700000,4.285745666667e-17
20.800000,4.038547333333e-17
20.900000,4.948623666667e-17
21.000000,4.110895566667e-17
21.100000,4.381475000000e-17
21.200000,5.707955333333e-17
21.300000,4.499012333333e-17
21.400000,3.650317000000e-17
21.500000,4.310340000000e-17
21.600000,4.356543333333e-17
21.700000,5.988969333333e-17
21.800000,6.094006666667e-17
21.900000,3.605632333333e-17
22.000000,2.784600666667e-17
22.100000,3.264726333333e-17
22.200000,3.905913000000e-17
22.300000,5.425917333333e-17
22.400000,4.257184000000e-17
22.500000,2.047119333333e-17
22.600000,1.797392666667e-17
22.700000,2.097242666667e-17
22.800000,2.749123100000e-17
22.900000,3.444990000000e-17
23.000000,2.088353666667e-17
23.100000,1.375886666667e-17
23.200000,1.689110333333e-17
23.300000,1.626208933333e-17
23.400000,1.955174666667e-17
23.500000,2.188794666667e-17
23.600000,1.739159433333e-17
23.700000,2.583419666667e-17
23.800000,3.025741000000e-17
23.900000,2.420526000000e-17
24.000000,2.236030666667e-17
24.100000,2.358314266667e-17
24.200000,2.776869333333e-17
24.300000,4.144296333333e-17
24.400000,4.271828666667e-17
24.500000,3.369792333333e-17
24.600000,2.935673000000e-17
24.700000,3.141145666667e-17
24.800000,3.772085333333e-17
24.900000,4.609287666667e-17
25.000000,4.235151666667e-17
25.100000,3.424583333333e-17
25.200000,3.102564666667e-17
25.300000,3.356826000000e-17
25.400000,3.646822333333e-17
25.500000,3.609641333333e-17
25.600000,2.867053000000e-17
25.700000,2.373817666667e-17
25.800000,2.287466666667e-17
25.900000,2.456066700000e-17
26.000000,2.340663233333e-17
26.100000,1.821271333333e-17
26.200000,1.141420200000e-17
26.300000,1.102701666667e-17
26.400000,1.214972666667e-17
26.500000,1.314588733333e-17
26.600000,1.158206066667e-17
26.700000,7.912545333333e-18
26.800000,6.910213000000e-18
26.900000,1.274647600000e-17
27.000000,1.497457666667e-17
27.100000,1.567583000000e-17
27.200000,1.561714900000e-17
27.300000,1.352173900000e-17
27.400000,1.592035333333e-17
27.500000,2.383387333333e-17
27.600000,2.354415666667e-17
27.700000,2.367789666667e-17
27.800000,2.580451333333e-17
27.900000,2.389034666667e-17
28.000000,2.591979000000e-17
28.100000,3.083304000000e-17
28.200000,2.500099666667e-17
28.300000,2.350563000000e-17
28.400000,2.658920333333e-17
28.500000,2.490732000000e-17
28.600000,2.670655000000e-17
28.700000,2.891138666667e-17
28.800000,2.089025333333e-17
28.900000,1.934194333333e-17
29.000000,2.114420666667e-17
29.100000,1.893045666667e-17
29.200000,2.017085000000e-17
29.300000,2.037717000000e-17
29.400000,1.470513700000e-17
29.500000,1.542346066667e-17
29.600000,1.474095933333e-17
29.700000,1.182700300000e-17
29.800000,1.216090733333e-17
29.900000,1.066204866667e-17
30.000000,8.889973333333e-18
30.100000,1.166560566667e-17
30.200000,8.833200333333e-18
30.300000,6.946615000000e-18
30.400000,7.333601666667e-18
30.500000,5.712286000000e-18
30.600000,8.050446000000e-18
30.700000,1.155528833333e-17
30.800000,8.346604333333e-18
30.900000,9.745811000000e-18
31.000000,1.079333966667e-17
31.100000,1.022929133333e-17
31.200000,1.591450666667e-17
31.300000,1.884965333333e-17
31.400000,1.649686000000e-17
31.500000,2.066309666667e-17
31.600000,1.978831000000e-17
31.700000,1.767705333333e-17
31.800000,2.305494666667e-17
31.900000,2.389116000000e-17
32.000000,2.263468000000e-17
32.100000,2.764218666667e-17
32.200000,2.305560333333e-17
32.300000,1.714183000000e-17
32.400000,1.834101666667e-17
32.500000,1.619760333333e-17
32.600000,1.622488000000e-17
32.700000,2.154235666667e-17
