# O-CO2 inelastic DCS at energy index 41
# Generated by compute_inelastic_tables.py
angle_degrees,cross_section_cm2
0.000000,6.7433013485e-12
0.100000,3.2502518127e-12
0.200000,5.5412992793e-13
0.300000,8.1958125708e-13
0.400000,6.1852528245e-13
0.500000,7.5648072470e-13
0.600000,3.1436037695e-13
0.700000,4.0605998710e-13
0.800000,4.4921347906e-13
0.900000,1.8803335773e-13
1.000000,2.4814318060e-13
1.100000,1.9063833118e-13
1.200000,1.2879359194e-13
1.300000,1.3696312888e-13
1.400000,1.0438603752e-13
1.500000,8.2719747567e-14
1.600000,8.8875383066e-14
1.700000,7.8573479977e-14
1.800000,5.8607455261e-14
1.900000,6.3258757056e-14
2.000000,5.6067258938e-14
2.100000,4.3249337020e-14
2.200000,4.4814539560e-14
2.300000,3.7814672294e-14
2.400000,3.4782562678e-14
2.500000,3.2336389867e-14
2.600000,2.9233160749e-14
2.700000,2.9866336797e-14
2.800000,2.6553729272e-14
2.900000,2.5879335750e-14
3.000000,2.5025606337e-14
3.100000,2.3262285053e-14
3.200000,2.1858039117e-14
3.300000,2.0176108027e-14
3.400000,2.0417440386e-14
3.500000,1.8400194525e-14
3.600000,1.7573519292e-14
3.700000,1.7929252088e-14
3.800000,1.6854140744e-14
3.900000,1.6261016957e-14
4.000000,1.5616592637e-14
4.100000,1.5717933908e-14
4.200000,1.4706800125e-14
4.300000,1.3512283249e-14
4.400000,1.3450147656e-14
4.500000,1.2678927031e-14
4.600000,1.2193803242e-14
4.700000,1.1494669979e-14
4.800000,1.1131581320e-14
4.900000,1.1014402651e-14
5.000000,1.0493306435e-14
5.100000,1.0483657364e-14
5.200000,1.0008984414e-14
5.300000,9.7555656025e-15
5.400000,9.4675669287e-15
5.500000,8.8331733330e-15
5.600000,8.6903058886e-15
5.700000,8.2530164383e-15
5.800000,7.9558532602e-15
5.900000,7.6745145580e-15
6.000000,7.4197843520e-15
6.100000,7.3238142085e-15
6.200000,6.9414617789e-15
6.300000,6.9835334701e-15
6.400000,6.8176370738e-15
6.500000,6.5173804695e-15
6.600000,6.4443540754e-15
6.700000,6.2547234431e-15
6.800000,6.1979811443e-15
6.900000,5.9133428334e-15
7.000000,5.8630494307e-15
7.100000,5.8965708203e-15
7.200000,5.6123099003e-15
7.300000,5.6036848419e-15
7.400000,5.4622660813e-15
7.500000,5.3257162733e-15
7.600000,5.1954772995e-15
7.700000,4.9852987335e-15
7.800000,4.9445277097e-15
7.900000,4.7367743681e-15
8.000000,4.6441657037e-15
8.100000,4.5862246577e-15
8.200000,4.4548773317e-15
8.300000,4.4417783037e-15
8.400000,4.2821716721e-15
8.500000,4.2227582172e-15
8.600000,4.1752623235e-15
8.700000,4.0716318016e-15
8.800000,3.9617887851e-15
8.900000,3.7944482879e-15
9.000000,3.8412584428e-15
9.100000,3.8037805056e-15
9.200000,3.6637870932e-15
9.300000,3.6367038362e-15
9.400000,3.5826646131e-15
9.500000,3.6003291398e-15
9.600000,3.5164318214e-15
9.700000,3.4183613809e-15
9.800000,3.3736329891e-15
9.900000,3.2480424199e-15
10.000000,3.2258106162e-15
10.100000,3.1902866019e-15
10.200000,3.1140564410e-15
10.300000,3.0619634667e-15
10.400000,2.9792727694e-15
10.500000,2.9645875911e-15
10.600000,2.9143317439e-15
10.700000,2.8711078533e-15
10.800000,2.8079584079e-15
10.900000,2.6982157342e-15
11.000000,2.7004845509e-15
11.100000,2.6768240884e-15
11.200000,2.6250932098e-15
11.300000,2.5977201592e-15
11.400000,2.5621752852e-15
11.500000,2.5836372106e-15
11.600000,2.5252065348e-15
11.700000,2.4628119145e-15
11.800000,2.4516028139e-15
11.900000,2.4028383054e-15
12.000000,2.3833356666e-15
12.100000,2.3338617671e-15
12.200000,2.2853072151e-15
12.300000,2.2866668292e-15
12.400000,2.2651920846e-15
12.500000,2.2451550048e-15
12.600000,2.1760969394e-15
12.700000,2.1371129373e-15
12.800000,2.1433302798e-15
12.900000,2.0884707129e-15
13.000000,2.0299254442e-15
13.100000,1.9813675790e-15
13.200000,1.9587573401e-15
13.300000,1.9460569980e-15
13.400000,1.9037733082e-15
13.500000,1.8921636403e-15
13.600000,1.8533144889e-15
13.700000,1.8261714257e-15
13.800000,1.8316438084e-15
13.900000,1.8096741981e-15
14.000000,1.8039481794e-15
14.100000,1.7809495687e-15
14.200000,1.7691786484e-15
14.300000,1.7861636527e-15
14.400000,1.7638236224e-15
14.500000,1.7627534622e-15
14.600000,1.7349133217e-15
14.700000,1.6863135532e-15
14.800000,1.6825594319e-15
14.900000,1.6659860481e-15
15.000000,1.6331102346e-15
15.100000,1.5897987505e-15
15.200000,1.5726721466e-15
15.300000,1.5780347628e-15
15.400000,1.5268761899e-15
15.500000,1.4869003278e-15
15.600000,1.4773837488e-15
15.700000,1.4756338844e-15
15.800000,1.4544155540e-15
15.900000,1.3986139777e-15
16.000000,1.4001707645e-15
16.100000,1.4229884180e-15
16.200000,1.4060168557e-15
16.300000,1.3876596460e-15
16.400000,1.3669868624e-15
16.500000,1.3856144101e-15
16.600000,1.3866621360e-15
16.700000,1.3351392361e-15
16.800000,1.3185690345e-15
16.900000,1.3296744812e-15
17.000000,1.3287301210e-15
17.100000,1.2897598980e-15
17.200000,1.2512754858e-15
17.300000,1.2760432197e-15
17.400000,1.2725601723e-15
17.500000,1.2115710208e-15
17.600000,1.1610616662e-15
17.700000,1.1644649514e-15
17.800000,1.1873406630e-15
17.900000,1.1447106463e-15
18.000000,1.0918113809e-15
18.100000,1.1007577447e-15
18.200000,1.1245118970e-15
18.300000,1.1227699429e-15
18.400000,1.0810611157e-15
18.500000,1.0701218953e-15
18.600000,1.1020162338e-15
18.700000,1.0980224865e-15
18.800000,1.0663901703e-15
18.900000,1.0455079834e-15
19.000000,1.0630635081e-15
19.100000,1.0889564987e-15
19.200000,1.0548697630e-15
19.300000,1.0206692238e-15
19.400000,1.0260740764e-15
19.500000,1.0339999119e-15
19.600000,1.0174740435e-15
19.700000,9.8553797971e-16
19.800000,9.9320451959e-16
19.900000,1.0146327566e-15
20.000000,9.9036731957e-16
20.100000,9.6392820466e-16
20.200000,9.6860127512e-16
20.300000,9.9144695638e-16
20.400000,9.8392184628e-16
20.500000,9.4509118060e-16
20.600000,9.3834399435e-16
20.700000,9.5637750653e-16
20.800000,9.5804556262e-16
20.900000,9.3580615425e-16
21.000000,9.1083747376e-16
21.100000,9.2184763584e-16
21.200000,9.2914827692e-16
21.300000,9.0493163851e-16
21.400000,8.8107904352e-16
21.500000,8.7374021017e-16
21.600000,8.8483048646e-16
21.700000,8.8053982782e-16
21.800000,8.5272626667e-16
21.900000,8.4674525652e-16
22.000000,8.4653990505e-16
22.100000,8.3336375161e-16
22.200000,8.1633094370e-16
22.300000,8.0677120301e-16
22.400000,8.0864021394e-16
22.500000,7.9396675487e-16
22.600000,7.7039712926e-16
22.700000,7.6935779730e-16
22.800000,7.7396855441e-16
22.900000,7.6939310424e-16
23.000000,7.4902526743e-16
23.100000,7.3533754026e-16
23.200000,7.4157939574e-16
23.300000,7.4010037709e-16
23.400000,7.3170051668e-16
23.500000,7.2460260670e-16
23.600000,7.2134930673e-16
23.700000,7.2943338661e-16
23.800000,7.2219119201e-16
23.900000,7.0757185305e-16
24.000000,7.0225250898e-16
24.100000,6.9805918518e-16
24.200000,7.0015286963e-16
24.300000,6.9780260276e-16
24.400000,6.9157659949e-16
24.500000,6.9209280991e-16
24.600000,6.7953987336e-16
24.700000,6.6913941637e-16
24.800000,6.7268273456e-16
24.900000,6.7484972931e-16
25.000000,6.6729482059e-16
25.100000,6.4906070663e-16
25.200000,6.4295771933e-16
25.300000,6.5202228835e-16
25.400000,6.4750957212e-16
25.500000,6.3386247319e-16
25.600000,6.2422301737e-16
25.700000,6.2757036214e-16
25.800000,6.3068851309e-16
25.900000,6.1895891182e-16
26.000000,6.1282943651e-16
26.100000,6.1655221718e-16
26.200000,6.2117860057e-16
26.300000,6.2531952582e-16
26.400000,6.1801593364e-16
26.500000,6.1504444851e-16
26.600000,6.1768804280e-16
26.700000,6.1525382175e-16
26.800000,6.1698632552e-16
26.900000,6.1488172742e-16
27.000000,6.0924851116e-16
27.100000,6.0830962501e-16
27.200000,6.0118656852e-16
27.300000,5.9827363502e-16
27.400000,5.9627528972e-16
27.500000,5.8461514365e-16
27.600000,5.7401687478e-16
27.700000,5.6895686100e-16
27.800000,5.7022927802e-16
27.900000,5.6870326608e-16
28.000000,5.5496826924e-16
28.100000,5.4752316166e-16
28.200000,5.4878502483e-16
28.300000,5.4799544529e-16
28.400000,5.4019448581e-16
28.500000,5.3226385082e-16
28.600000,5.3657819706e-16
28.700000,5.4062260063e-16
28.800000,5.3467455202e-16
28.900000,5.3136641310e-16
29.000000,5.3064299340e-16
29.100000,5.3290915447e-16
29.200000,5.3028281505e-16
29.300000,5.2190667495e-16
29.400000,5.2411290393e-16
29.500000,5.2849674738e-16
29.600000,5.2503309998e-16
29.700000,5.2129007498e-16
29.800000,5.1509297049e-16
29.900000,5.1257011001e-16
30.000000,5.1065564924e-16
30.100000,5.0405142705e-16
30.200000,5.0342397864e-16
30.300000,5.0498779750e-16
30.400000,4.9981478830e-16
30.500000,4.9230911021e-16
30.600000,4.8790857222e-16
30.700000,4.9324688792e-16
30.800000,4.9520548068e-16
30.900000,4.8520049727e-16
31.000000,4.7914557369e-16
31.100000,4.8576678357e-16
31.200000,4.9467791384e-16
31.300000,4.9039612169e-16
31.400000,4.7777564417e-16
31.500000,4.7969546950e-16
31.600000,4.8784623365e-16
31.700000,4.8588807010e-16
31.800000,4.7772351846e-16
31.900000,4.7358729293e-16
32.000000,4.7873803045e-16
32.100000,4.7869261679e-16
32.200000,4.6603526826e-16
32.300000,4.6235884863e-16
32.400000,4.6675291314e-16
32.500000,4.6514955862e-16
32.600000,4.5810535542e-16
32.700000,4.5131906847e-16
32.800000,4.5228182527e-16
32.900000,4.5462202182e-16
33.000000,4.4594820783e-16
33.100000,4.3809879708e-16
33.200000,4.4124255176e-16
33.300000,4.4878657071e-16
33.400000,4.4631729449e-16
33.500000,4.3276262800e-16
33.600000,4.2699288976e-16
33.700000,4.3578041948e-16
33.800000,4.4404503904e-16
33.900000,4.3966354347e-16
34.000000,4.2739705697e-16
34.100000,4.2803281630e-16
34.200000,4.3692332501e-16
34.300000,4.3388799063e-16
34.400000,4.2594767914e-16
34.500000,4.2607305695e-16
34.600000,4.3190096334e-16
34.700000,4.3158752900e-16
34.800000,4.1654399826e-16
34.900000,4.0830792097e-16
35.000000,4.1634125242e-16
35.100000,4.1717775657e-16
35.200000,4.0394763199e-16
35.300000,3.9177824736e-16
35.400000,3.9182850819e-16
35.500000,3.9836307492e-16
35.600000,3.9183979055e-16
35.700000,3.7761545520e-16
35.800000,3.7358319450e-16
35.900000,3.7851026493e-16
36.000000,3.8118646056e-16
36.100000,3.7568172289e-16
36.200000,3.6963093285e-16
36.300000,3.7163038887e-16
36.400000,3.7379912566e-16
36.500000,3.7229799235e-16
36.600000,3.6856890034e-16
36.700000,3.6688578927e-16
36.800000,3.7043765436e-16
36.900000,3.7004128939e-16
37.000000,3.6375043169e-16
37.100000,3.6203314410e-16
37.200000,3.6457730077e-16
37.300000,3.6688207195e-16
37.400000,3.6205246812e-16
37.500000,3.5390289726e-16
37.600000,3.5620103413e-16
37.700000,3.6238878888e-16
37.800000,3.5958247726e-16
37.900000,3.5344380514e-16
38.000000,3.5204370658e-16
38.100000,3.5682558507e-16
38.200000,3.5615946492e-16
38.300000,3.4659427780e-16
38.400000,3.4430578350e-16
38.500000,3.5103778486e-16
38.600000,3.5152258113e-16
38.700000,3.4269342070e-16
38.800000,3.3503441141e-16
38.900000,3.3931398333e-16
39.000000,3.4448948958e-16
39.100000,3.3670815172e-16
39.200000,3.2718497367e-16
39.300000,3.2916096653e-16
39.400000,3.3662093379e-16
39.500000,3.3604920467e-16
39.600000,3.2456747941e-16
39.700000,3.1903483099e-16
39.800000,3.2565037433e-16
39.900000,3.3073807353e-16
40.000000,3.2622569388e-16
40.100000,3.1810974185e-16
40.200000,3.1818784333e-16
40.300000,3.2653666277e-16
40.400000,3.2689902831e-16
40.500000,3.1790556581e-16
40.600000,3.1269595882e-16
40.700000,3.1758055515e-16
40.800000,3.2483552636e-16
40.900000,3.2088059207e-16
41.000000,3.1134874848e-16
41.100000,3.1451376373e-16
41.200000,3.2343845517e-16
41.300000,3.2087800785e-16
41.400000,3.0844480306e-16
41.500000,3.0494910706e-16
41.600000,3.1904065600e-16
41.700000,3.2855715340e-16
41.800000,3.1594806416e-16
41.900000,3.0294916164e-16
42.000000,3.0953610024e-16
42.100000,3.2290684345e-16
42.200000,3.2050378981e-16
42.300000,3.0630158008e-16
42.400000,3.0593061779e-16
42.500000,3.2012739942e-16
42.600000,3.2178960944e-16
42.700000,3.0793233134e-16
42.800000,3.0225884372e-16
42.900000,3.1390005075e-16
