# O-CO2 state-resolved inelastic channels at energy index 2
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
0,2,2.5327500000e-15,2.9027924442e-04
0,4,9.3078900000e-16,9.6759748141e-04
0,6,6.4247070000e-16,2.0319547110e-03
0,8,4.7990770000e-16,3.4833509331e-03
0,10,3.0935470000e-16,5.3217861478e-03
0,12,2.7009630000e-16,7.5472603550e-03
0,14,2.6096970000e-16,1.0159773555e-02
0,16,2.1006800000e-16,1.3159325747e-02
0,18,1.9883300000e-16,1.6545916932e-02
0,20,1.8382430000e-16,2.0319547110e-02
0,22,1.5814670000e-16,2.4480216280e-02
0,24,1.5639830000e-16,2.9027924442e-02
0,26,1.4197330000e-16,3.3962671598e-02
0,28,1.0508880000e-16,3.9284457745e-02
0,30,1.1916200000e-16,4.4993282886e-02
0,32,1.1001020000e-16,5.1089147019e-02
0,34,8.2257670000e-17,5.7572050144e-02
0,36,6.4708400000e-17,6.4441992262e-02
0,38,6.6146900000e-17,7.1698973373e-02
0,40,6.3639570000e-17,7.9342993476e-02
0,42,4.9739170000e-17,8.7374052572e-02
0,44,4.0842670000e-17,9.5792150660e-02
0,46,3.7620070000e-17,1.0459728774e-01
0,48,2.8216700000e-17,1.1378946381e-01
0,50,1.9096960000e-17,1.2336867888e-01
0,52,1.4833800000e-17,1.3333493294e-01
0,54,1.1138820000e-17,1.4368822599e-01
1,3,1.9186870000e-15,4.8379874071e-04
1,5,8.3913800000e-16,1.3546364740e-03
1,7,5.8265600000e-16,2.6125131998e-03
1,9,4.0764270000e-16,4.2574289182e-03
1,11,2.8572070000e-16,6.2893836292e-03
1,13,2.6208470000e-16,8.7083773327e-03
1,15,2.3986700000e-16,1.1514410029e-02
1,17,1.9966530000e-16,1.4707481717e-02
1,19,1.8708630000e-16,1.8287592399e-02
1,21,1.7151330000e-16,2.2254742072e-02
1,23,1.5585570000e-16,2.6608930739e-02
1,25,1.4781200000e-16,3.1350158398e-02
1,27,1.2259930000e-16,3.6478425049e-02
1,29,1.0632370000e-16,4.1993730693e-02
1,31,1.0868900000e-16,4.7896075330e-02
1,33,9.1171600000e-17,5.4185458959e-02
1,35,7.5883700000e-17,6.0861881581e-02
1,37,6.6461200000e-17,6.7925343195e-02
1,39,6.3117130000e-17,7.5375843802e-02
1,41,5.4980600000e-17,8.3213383401e-02
1,43,4.5826230000e-17,9.1437961993e-02
1,45,4.0302370000e-17,1.0004957958e-01
1,47,3.2332270000e-17,1.0904823616e-01
1,49,2.2822800000e-17,1.1843393172e-01
1,51,1.6830950000e-17,1.2820666629e-01
1,53,1.3312260000e-17,1.3836643984e-01
1,55,7.6890390000e-18,1.4891325239e-01
2,0,5.0750800000e-16,-2.9027924442e-04
2,4,1.7484800000e-15,6.7731823699e-04
2,6,7.8268900000e-16,1.7416754665e-03
2,8,5.1634470000e-16,3.1930716887e-03
2,10,3.7737630000e-16,5.0315069033e-03
2,12,2.7827200000e-16,7.2569811106e-03
2,14,2.4947630000e-16,9.8694943104e-03
2,16,2.2483470000e-16,1.2869046503e-02
2,18,1.8836900000e-16,1.6255637688e-02
2,20,1.7481500000e-16,2.0029267865e-02
2,22,1.6371130000e-16,2.4189937035e-02
2,24,1.4721170000e-16,2.8737645198e-02
2,26,1.3102100000e-16,3.3672392353e-02
2,28,1.1630970000e-16,3.8994178501e-02
2,30,1.0258500000e-16,4.4703003641e-02
2,32,9.1039600000e-17,5.0798867774e-02
2,34,8.3072200000e-17,5.7281770900e-02
2,36,7.5626570000e-17,6.4151713018e-02
2,38,6.3961300000e-17,7.1408694128e-02
2,40,5.6319530000e-17,7.9052714231e-02
2,42,5.1020770000e-17,8.7083773327e-02
2,44,4.5699570000e-17,9.5501871415e-02
2,46,3.6227130000e-17,1.0430700850e-01
2,48,2.6279330000e-17,1.1349918457e-01
2,50,1.9795070000e-17,1.2307839964e-01
2,52,1.5905850000e-17,1.3304465369e-01
2,54,1.1123790000e-17,1.4339794675e-01
3,1,8.2489200000e-16,-4.8379874071e-04
3,5,1.6427830000e-15,8.7083773327e-04
3,7,7.0050500000e-16,2.1287144591e-03
3,9,4.8626100000e-16,3.7736301775e-03
3,11,3.6326500000e-16,5.8055848885e-03
3,13,2.6892470000e-16,8.2245785920e-03
3,15,2.4088270000e-16,1.1030611288e-02
3,17,2.0998500000e-16,1.4223682977e-02
3,19,1.7993800000e-16,1.7803793658e-02
3,21,1.6906930000e-16,2.1770943332e-02
3,23,1.5320600000e-16,2.6125131998e-02
3,25,1.3353670000e-16,3.0866359657e-02
3,27,1.2333530000e-16,3.5994626309e-02
3,29,1.1432730000e-16,4.1509931953e-02
3,31,9.4511670000e-17,4.7412276589e-02
3,33,8.4117700000e-17,5.3701660218e-02
3,35,8.0477400000e-17,6.0378082840e-02
3,37,7.0949000000e-17,6.7441544454e-02
3,39,5.8986830000e-17,7.4892045061e-02
3,41,5.4021200000e-17,8.2729584661e-02
3,43,5.0461430000e-17,9.0954163253e-02
3,45,4.1844200000e-17,9.9565780837e-02
3,47,3.0185770000e-17,1.0856443741e-01
3,49,2.2400030000e-17,1.1795013298e-01
3,51,1.8176150000e-17,1.2772286755e-01
3,53,1.3786950000e-17,1.3788264110e-01
3,55,7.8331260000e-18,1.4842945365e-01
4,0,1.0407600000e-16,-9.6759748141e-04
4,2,9.7568230000e-16,-6.7731823699e-04
4,6,1.5189370000e-15,1.0643572296e-03
4,8,6.6939330000e-16,2.5157534517e-03
4,10,4.7027000000e-16,4.3541886664e-03
4,12,3.4394130000e-16,6.5796628736e-03
4,14,2.6632670000e-16,9.1921760734e-03
4,16,2.3079030000e-16,1.2191728266e-02
4,18,2.0202830000e-16,1.5578319451e-02
4,20,1.7985300000e-16,1.9351949628e-02
4,22,1.6220130000e-16,2.3512618798e-02
4,24,1.4274700000e-16,2.8060326961e-02
4,26,1.2911300000e-16,3.2995074116e-02
4,28,1.2174030000e-16,3.8316860264e-02
4,30,1.0833330000e-16,4.4025685404e-02
4,32,9.0743000000e-17,5.0121549537e-02
4,34,8.2735000000e-17,5.6604452663e-02
4,36,7.5715330000e-17,6.3474394781e-02
4,38,6.5851100000e-17,7.0731375891e-02
4,40,5.7471200000e-17,7.8375395994e-02
4,42,5.3132670000e-17,8.6406455090e-02
4,44,4.6969000000e-17,9.4824553178e-02
4,46,3.6574330000e-17,1.0362969026e-01
4,48,2.6305930000e-17,1.1282186633e-01
4,50,2.0432210000e-17,1.2240108140e-01
4,52,1.6413600000e-17,1.3236733546e-01
4,54,1.1595330000e-17,1.4272062851e-01
5,1,2.3089200000e-16,-1.3546364740e-03
5,3,1.0513840000e-15,-8.7083773327e-04
5,7,1.4658330000e-15,1.2578767258e-03
5,9,6.5073230000e-16,2.9027924442e-03
5,11,4.3983930000e-16,4.9347471552e-03
5,13,3.3474700000e-16,7.3537408587e-03
5,15,2.5820930000e-16,1.0159773555e-02
5,17,2.2495730000e-16,1.3352845243e-02
5,19,2.0153270000e-16,1.6932955925e-02
5,21,1.7360800000e-16,2.0900105599e-02
5,23,1.5669270000e-16,2.5254294265e-02
5,25,1.4205970000e-16,2.9995521924e-02
5,27,1.2700000000e-16,3.5123788575e-02
5,29,1.1298330000e-16,4.0639094219e-02
5,31,1.0169120000e-16,4.6541438856e-02
5,33,8.9406130000e-17,5.2830822485e-02
5,35,7.8814200000e-17,5.9507245107e-02
5,37,7.0152630000e-17,6.6570706721e-02
5,39,6.3758030000e-17,7.4021207328e-02
5,41,5.5674670000e-17,8.1858746927e-02
5,43,4.9464370000e-17,9.0083325519e-02
5,45,4.2187600000e-17,9.8694943104e-02
5,47,3.2515170000e-17,1.0769359968e-01
5,49,2.3610070000e-17,1.1707929525e-01
5,51,1.8078540000e-17,1.2685202981e-01
5,53,1.4275550000e-17,1.3701180337e-01
5,55,8.3807010000e-18,1.4755861592e-01
6,0,5.0082770000e-17,-2.0319547110e-03
6,2,3.0449030000e-16,-1.7416754665e-03
6,4,1.0589500000e-15,-1.0643572296e-03
6,8,1.4264910000e-15,1.4513962221e-03
6,10,6.1541900000e-16,3.2898314368e-03
6,12,4.2617900000e-16,5.5153056441e-03
6,14,3.2181700000e-16,8.1278188439e-03
6,16,2.5418130000e-16,1.1127371036e-02
6,18,2.2616800000e-16,1.4513962221e-02
6,20,1.9305800000e-16,1.8287592399e-02
6,22,1.6749400000e-16,2.2448261569e-02
