# Gacesa et al., doi:10.5281/zenodo.3256699. Raw CSs_3pes, even j for 12C16O2 v=0.
# Includes elastic diagonals; independent variable is MOLSCAT total energy.
total_energy_eV,ji,jf,sigma_cm2
0.0297562073744,0,0,3.571600000000e-14
0.0297562073744,0,2,4.085817000000e-15
0.0297562073744,0,4,1.463227000000e-15
0.0297562073744,0,6,9.494853000000e-16
0.0297562073744,0,8,6.673707000000e-16
0.0297562073744,0,10,4.230310000000e-16
0.0297562073744,0,12,2.917623000000e-16
0.0297562073744,0,14,2.909600000000e-16
0.0297562073744,0,16,2.109660000000e-16
0.0297562073744,0,18,1.960187000000e-16
0.0297562073744,0,20,1.721253000000e-16
0.0297562073744,0,22,9.010143000000e-17
0.0297562073744,0,24,3.098352000000e-17
0.0297562073744,2,0,8.252130000000e-16
0.0297562073744,2,2,3.760933000000e-14
0.0297562073744,2,4,2.520093000000e-15
0.0297562073744,2,6,1.086529000000e-15
0.0297562073744,2,8,6.561573000000e-16
0.0297562073744,2,10,4.085060000000e-16
0.0297562073744,2,12,3.712503000000e-16
0.0297562073744,2,14,3.172630000000e-16
0.0297562073744,2,16,3.020987000000e-16
0.0297562073744,2,18,2.455797000000e-16
0.0297562073744,2,20,1.568894000000e-16
0.0297562073744,2,22,7.784196000000e-17
0.0297562073744,2,24,3.203513000000e-17
0.0297562073744,4,0,1.680450000000e-16
0.0297562073744,4,2,1.432993000000e-15
0.0297562073744,4,4,3.834270000000e-14
0.0297562073744,4,6,1.995547000000e-15
0.0297562073744,4,8,8.350367000000e-16
0.0297562073744,4,10,5.070470000000e-16
0.0297562073744,4,12,3.782633000000e-16
0.0297562073744,4,14,3.360787000000e-16
0.0297562073744,4,16,3.185557000000e-16
0.0297562073744,4,18,2.934507000000e-16
0.0297562073744,4,20,1.770329000000e-16
0.0297562073744,4,22,1.146928000000e-16
0.0297562073744,4,24,4.101329000000e-17
0.0297562073744,6,0,7.839037000000e-17
0.0297562073744,6,2,4.441487000000e-16
0.0297562073744,6,4,1.434573000000e-15
0.0297562073744,6,6,3.936160000000e-14
0.0297562073744,6,8,1.655113000000e-15
0.0297562073744,6,10,7.246540000000e-16
0.0297562073744,6,12,4.603667000000e-16
0.0297562073744,6,14,4.036843000000e-16
0.0297562073744,6,16,3.320677000000e-16
0.0297562073744,6,18,2.714450000000e-16
0.0297562073744,6,20,2.135400000000e-16
0.0297562073744,6,22,1.347095000000e-16
0.0297562073744,6,24,4.519459000000e-17
0.0297562073744,8,0,4.446197000000e-17
0.0297562073744,8,2,2.164420000000e-16
0.0297562073744,8,4,4.844090000000e-16
0.0297562073744,8,6,1.335593000000e-15
0.0297562073744,8,8,4.087083000000e-14
0.0297562073744,8,10,1.416790000000e-15
