# Differential cross section for O-CO elastic scattering
# Collision energy: 0.000390 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,2.1305732228e-12
0.20000,2.1275552716e-12
0.30000,2.1225337312e-12
0.40000,2.1155211377e-12
0.50000,2.1065349796e-12
0.60000,2.0955976353e-12
0.70000,2.0827362945e-12
0.80000,2.0679828616e-12
0.90000,2.0513738434e-12
1.00000,2.0329502203e-12
1.10000,2.0127573025e-12
1.20000,1.9908445708e-12
1.30000,1.9672655034e-12
1.40000,1.9420773901e-12
1.50000,1.9153411323e-12
1.60000,1.8871210327e-12
1.70000,1.8574845730e-12
1.80000,1.8265021826e-12
1.90000,1.7942469975e-12
2.00000,1.7607946116e-12
2.10000,1.7262228210e-12
2.20000,1.6906113623e-12
2.30000,1.6540416463e-12
2.40000,1.6165964880e-12
2.50000,1.5783598335e-12
2.60000,1.5394164859e-12
2.70000,1.4998518307e-12
2.80000,1.4597515617e-12
2.90000,1.4192014088e-12
3.00000,1.3782868688e-12
3.10000,1.3370929396e-12
3.20000,1.2957038599e-12
3.30000,1.2542028544e-12
3.40000,1.2126718861e-12
3.50000,1.1711914160e-12
3.60000,1.1298401722e-12
3.70000,1.0886949276e-12
3.80000,1.0478302881e-12
3.90000,1.0073184925e-12
4.00000,9.6722922302e-13
4.10000,9.2762942860e-13
4.20000,8.8858316101e-13
4.30000,8.5015142409e-13
4.40000,8.1239203684e-13
4.50000,7.7535951042e-13
4.60000,7.3910493971e-13
4.70000,7.0367590928e-13
4.80000,6.6911641415e-13
4.90000,6.3546679544e-13
5.00000,6.0276369076e-13
5.10000,5.7103999950e-13
5.20000,5.4032486278e-13
5.30000,5.1064365792e-13
5.40000,4.8201800722e-13
5.50000,4.5446580074e-13
5.60000,4.2800123276e-13
5.70000,4.0263485142e-13
5.80000,3.7837362124e-13
5.90000,3.5522099787e-13
6.00000,3.3317701461e-13
6.10000,3.1223838002e-13
6.20000,2.9239858613e-13
6.30000,2.7364802637e-13
6.40000,2.5597412275e-13
6.50000,2.3936146139e-13
6.60000,2.2379193568e-13
6.70000,2.0924489640e-13
6.80000,1.9569730787e-13
6.90000,1.8312390943e-13
7.00000,1.7149738135e-13
7.10000,1.6078851449e-13
7.20000,1.5096638273e-13
7.30000,1.4199851752e-13
7.40000,1.3385108364e-13
7.50000,1.2648905541e-13
7.60000,1.1987639261e-13
7.70000,1.1397621531e-13
7.80000,1.0875097687e-13
7.90000,1.0416263447e-13
8.00000,1.0017281638e-13
8.10000,9.6742985406e-14
8.20000,9.3834597892e-14
8.30000,9.1409257590e-14
8.40000,8.9428863990e-14
8.50000,8.7855754519e-14
8.60000,8.6652840156e-14
8.70000,8.5783734052e-14
8.80000,8.5212872771e-14
8.90000,8.4905629807e-14
9.00000,8.4828421089e-14
9.10000,8.4948802233e-14
9.20000,8.5235557334e-14
9.30000,8.5658779140e-14
9.40000,8.6189940509e-14
9.50000,8.6801957066e-14
9.60000,8.7469241054e-14
9.70000,8.8167746389e-14
9.80000,8.8875004983e-14
9.90000,8.9570154443e-14
10.00000,9.0233957287e-14
10.10000,9.0848811842e-14
10.20000,9.1398755065e-14
10.30000,9.1869457506e-14
10.40000,9.2248210715e-14
10.50000,9.2523907388e-14
10.60000,9.2687014594e-14
