#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
0.806550        6.538660E+02
0.887210        6.425187E+02
0.967870        6.323323E+02
1.048520        6.230563E+02
1.129180        6.145407E+02
1.209830        6.066953E+02
1.290490        5.994455E+02
1.371140        5.927102E+02
1.451800        6.007217E+02
1.532450        5.805497E+02
1.613110        5.750185E+02
1.693760        5.698123E+02
1.774420        5.648757E+02
1.855080        5.601984E+02
1.935730        5.557286E+02
2.016390        5.514650E+02
2.097040        5.473868E+02
2.177700        5.434885E+02
2.258350        5.397610E+02
2.339010        5.361962E+02
2.419660        5.327737E+02
2.500320        5.294886E+02
2.580970        5.263294E+02
2.661630        5.232873E+02
2.742280        5.203555E+02
2.822940        5.175239E+02
2.903600        5.326404E+02
2.984250        5.121285E+02
3.064910        5.095555E+02
3.145560        5.070461E+02
3.226220        5.046098E+02
3.306870        5.022379E+02
3.387530        4.999340E+02
3.468180        4.976931E+02
3.548840        4.955060E+02
3.629490        4.933781E+02
3.710150        4.913064E+02
3.790810        4.892864E+02
3.871460        4.874415E+02
3.952120        4.855365E+02
4.032770        4.836414E+02
4.113430        4.817931E+02
4.194080        4.800006E+02
4.274740        4.782581E+02
4.355390        4.765528E+02
4.436050        4.748897E+02
4.516700        4.732648E+02
4.597360        4.716727E+02
4.678020        4.701154E+02
4.758670        4.685889E+02
4.839330        4.670950E+02
4.919980        4.656318E+02
5.000640        4.641865E+02
5.081290        4.627677E+02
5.161950        4.613762E+02
5.242600        4.600047E+02
5.323260        4.586562E+02
5.403910        4.573326E+02
5.484570        4.560260E+02
5.565230        4.547465E+02
5.645880        4.534841E+02
5.726540        4.522415E+02
5.807190        4.510180E+02
5.887850        4.498143E+02
5.968500        4.486306E+02
6.049160        4.474655E+02
6.129810        4.463181E+02
6.210470        4.451939E+02
6.291120        4.440824E+02
6.371780        4.429931E+02
6.452440        4.419134E+02
6.533090        4.408558E+02
6.613750        4.398146E+02
6.694400        4.387884E+02
6.775060        4.377773E+02
6.855710        4.367894E+02
6.936370        4.358223E+02
7.017020        4.348427E+02
7.097680        4.338904E+02
7.178330        4.329541E+02
7.258990        4.320305E+02
7.339650        4.311382E+02
7.420300        4.302167E+02
7.500960        4.293285E+02
