#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
0.806550          3.308352E+03
0.887210          2.636697E+03
0.967870          2.774791E+03
1.048520          2.497437E+03
1.129180          2.598853E+03
1.209830          3.276735E+03
1.290490          1.698034E+03
1.371140          2.168645E+03
1.451800          2.398935E+03
1.532450          1.362788E+03
1.613110          2.254967E+03
1.693760          1.870673E+03
1.774420          1.996604E+03
1.855080          1.470096E+03
1.935730          1.539639E+03
2.016390          1.568536E+03
2.097040          1.652176E+03
2.177700          1.922436E+03
2.258350          2.277085E+03
2.339010          2.232307E+03
2.419660          1.846909E+03
2.500320          1.718660E+03
2.580970          1.552530E+03
2.661630          1.908012E+03
2.742280          1.925425E+03
2.822940          2.077562E+03
2.903600          1.906222E+03
2.984250          1.755688E+03
3.064910          1.716830E+03
3.145560          2.111396E+03
3.226220          2.194410E+03
3.306870          2.374783E+03
3.387530          1.939060E+03
3.468180          1.922351E+03
3.548840          1.927292E+03
3.629490          1.890860E+03
3.710150          1.630822E+03
3.790810          1.639148E+03
3.871460          1.784805E+03
3.952120          1.865684E+03
4.032770          1.499517E+03
4.113430          1.648201E+03
4.194080          1.852765E+03
4.274740          1.842567E+03
4.355390          1.738335E+03
4.436050          1.953518E+03
4.516700          1.859802E+03
4.597360          2.039150E+03
4.678020          2.216051E+03
4.758670          2.215126E+03
4.839330          2.136975E+03
4.919980          1.995865E+03
5.000640          1.780778E+03
5.081290          1.548476E+03
5.161950          1.821507E+03
5.242600          2.071258E+03
5.323260          2.043369E+03
5.403910          2.093595E+03
5.484570          1.954231E+03
5.565230          1.924576E+03
5.645880          2.079567E+03
5.726540          2.012428E+03
5.807190          2.108740E+03
5.887850          1.831791E+03
5.968500          1.779609E+03
6.049160          1.783125E+03
6.129810          1.690314E+03
6.210470          1.832720E+03
6.291120          1.580206E+03
6.371780          1.575171E+03
6.452440          1.346993E+03
6.533090          1.191956E+03
6.613750          1.325108E+03
6.694400          1.332628E+03
6.775060          1.404326E+03
6.855710          1.574502E+03
6.936370          1.382410E+03
7.017020          1.382465E+03
7.097680          1.505381E+03
7.178330          1.526400E+03
7.258990          1.466617E+03
7.339650          1.525860E+03
7.420300          1.532068E+03
7.500960          1.544359E+03
7.581610          1.218110E+03
7.662270          1.371284E+03
7.742920          1.418727E+03
7.823580          1.455927E+03
7.904230          1.508454E+03
7.984890          1.489713E+03
8.065540          1.501424E+03
8.872100          1.689363E+03
9.678650          1.683963E+03
10.485210          1.964791E+03
11.291760          1.661465E+03
12.098320          1.250817E+03
12.904870          1.394272E+03
13.711420          1.313364E+03
14.517980          1.448856E+03
15.324530          1.318912E+03
16.131090          1.603916E+03
16.937640          1.498903E+03
17.744200          1.707527E+03
18.550750          1.592516E+03
19.357310          1.477710E+03
20.163860          1.367068E+03
20.970410          1.137112E+03
21.776970          1.187298E+03
22.583520          1.216228E+03
23.390080          1.172382E+03
24.196630          1.187485E+03
25.003190          1.243102E+03
25.809740          1.358758E+03
26.616300          1.342629E+03
27.422850          1.470360E+03
28.229400          1.444939E+03
29.035960          1.384682E+03
29.842510          1.386618E+03
30.649070          1.408173E+03
31.455620          1.340124E+03
32.262180          1.321346E+03
33.068730          1.311687E+03
33.875280          1.160941E+03
34.681840          1.151969E+03
35.488390          1.197403E+03
36.294950          1.197799E+03
37.101500          1.110139E+03
37.908060          1.281602E+03
38.714610          1.284313E+03
39.521170          1.230731E+03
40.327720          1.193803E+03
41.134270          1.351425E+03
41.940830          1.277538E+03
42.747380          1.258581E+03
43.553940          1.301215E+03
44.360490          1.303501E+03
45.167050          1.277499E+03
45.973600          1.206809E+03
46.780160          1.215177E+03
47.586710          1.231360E+03
48.393260          1.186897E+03
49.199820          1.092916E+03
50.006370          1.138892E+03
50.812930          1.159740E+03
51.619480          1.199977E+03
52.426040          1.102310E+03
53.232590          1.119313E+03
54.039140          1.141245E+03
54.845700          1.192894E+03
