#By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
# Eng(1/cm),  el. cross section (1E-16 cm^2)
0.80655     270.0289
0.88721     420.938
1.04852     303.0098
1.12918     287.0597
1.20983     370.5318
1.29049     242.4624
1.37114     581.5571
1.4518      198.9775
1.53245     240.7172
1.61311     229.1436
1.69376     284.0572
1.77442     403.3825
1.85508     376.5138
1.93573     405.5401
2.01639     318.1588
2.09704     239.2179
2.1777      465.1687
2.25835     483.1114
2.33901     557.5292
2.41966     433.1988
2.50032     423.9757
2.58097     539.1123
2.66163     539.4129
2.74228     537.4108
2.82294     547.216
2.9036      430.2207
2.98425     430.1116
3.06491     362.761
3.14556     261.1163
3.22622     255.1503
3.30687     263.5008
3.38753     261.6198
3.46818     279.0521
3.54884     315.6282
3.62949     526.208
3.71015     526.3026
3.79081     384.6068
3.87146     353.7388
3.95212     321.4064
4.03277     376.0616
4.11343     361.5047
4.19408     299.1794
4.27474     237.1161
4.35539     227.0487
4.43605     210.6333
4.5167      214.8045
4.59736     218.9512
4.67802     255.8347
4.75867     242.7321
4.83933     249.1624
4.91998     304.7188
5.00064     288.6952
5.08129     301.6793
5.16195     327.3749
5.2426      334.8858
5.32326     326.9286
5.40391     336.1229
5.48457     378.104
5.56523     546.2122
5.64588     434.5834
5.72654     429.5052
5.80719     425.4655
5.88785     385.6671
5.9685      373.8039
6.04916     365.5029
6.12981     355.2133
6.21047     351.8626
6.29112     343.7316
6.37178     338.681
6.45244     358.6476
6.53309     359.6369
6.61375     393.4122
6.6944      364.5902
6.77506     384.4051
6.85571     357.5092
6.93637     514.9147
7.01702     306.5935
7.09768     313.9542
7.17833     304.9233
7.25899     308.9911
7.33965     328.5186
7.4203      327.9775
7.50096     326.9561
7.58161     309.5148
7.66227     326.4974
7.74292     294.7628
7.82358     279.0361
7.90423     263.7214
7.98489     261.0504
8.06554     263.2653
8.8721      252.903
9.67865     282.8056
10.48521       240.7714
11.29176       184.3915
12.09832       194.8189
12.90487       224.9924
13.71142       201.4085
14.51798       168.7484
15.32453       154.5923
16.13109       233.6574
16.93764       211.5736
17.7442       177.3477
18.55075       161.1516
19.35731       172.1934
20.16386       160.5536
20.97041       204.6566
21.77697       175.72
22.58352       187.5325
23.39008       194.2867
24.19663       209.7764
25.00319       197.0906
25.80974       189.9412
26.6163       196.4597
27.42285       210.4797
28.2294       203.4411
29.03596       237.1152
29.84251       221.1422
30.64907       195.7089
31.45562       215.4869
32.26218       237.8968
33.06873       229.6812
33.87528       244.5342
34.68184       234.1921
35.48839       220.8749
36.29495       194.8002
37.1015       224.5213
37.90806       232.6568
38.71461       231.9962
39.52117       219.8528
40.32772       234.8149
41.13427       238.9375
41.94083       189.79
42.74738       199.0079
43.55394       239.306
44.36049       216.8083
45.16705       203.4026
45.9736       226.406
46.78016       219.113
47.58671       199.6054
48.39326       183.8516
49.19982       197.1514
50.00637       189.4086
50.81293       189.2878
51.61948       204.5574
52.42604       211.3674
53.23259       207.4495
54.03914       194.9063
54.8457       174.8156
55.65225       186.5084
56.45881       201.4161
57.26536       191.971
58.07192       204.3901
58.87847       216.3901
59.68503       220.7605
60.49158       189.1223
61.29813       165.1646
62.10469       183.5482
62.91124       206.8748
63.7178       206.749
64.52435       212.7937
65.33091       202.4027
66.13746       214.8415
66.94402       183.7966
67.75057       166.606
68.55712       174.6972
69.36368       195.6315
70.17023       205.8339
70.97679       203.2622
71.78334       185.6456
72.5899       188.1365
73.39645       196.1649
74.203        173.1737
75.00956         167.6796
75.81611         178.5603
76.62267         181.2902
77.42922         199.779
78.23578         215.7299
79.04233         190.7155
79.84889         165.5577
80.65544         181.0514
88.72098         162.4571
96.78653         166.4344
104.85207         175.3053
112.91762         173.6921
120.98316         181.0993
129.0487         193.2587
137.11425         196.1141
145.17979         205.3965
153.24534         194.3315
161.31088         173.1315
169.37642         166.9378
177.44197         150.8414
185.50751         158.8404
193.57306         148.0305
201.6386         148.2648
209.70414         159.0981
217.76969         158.1332
225.83523         168.0623
233.90078         168.7859
241.96632         170.466
250.03186         183.9976
258.09741         184.4789
266.16295         181.3724
274.2285         189.3486
282.29404         190.1481
290.35958         184.402
298.42513         174.4618
306.49067         181.1134
314.55622         174.25
322.62176         168.1655
330.6873         166.8221
338.75285         153.5033
346.81839         157.4413
354.88394         148.3379
362.94948         145.2369
371.01502         145.6094
379.08057         134.4648
387.14611         143.2198
395.21166         137.291
403.2772         142.3132
411.34274         142.8657
419.40829         143.4774
427.47383         147.7858
435.53938         146.5373
443.60492         152.7826
451.67046         151.2745
459.73601         157.4579
467.80155         156.6196
475.8671         161.6605
483.93264         161.5275
491.99818         165.2477
500.06373         165.3281
508.12927         167.6283
516.19482         167.693
524.26036         168.8728
532.3259         168.6268
540.39145         168.8417
548.45699         168.2107
556.52254         167.6717
564.58808         166.5745
572.65362         165.449
580.71917         164.0439
588.78471         162.4793
596.85026         160.7986
604.9158         159.0191
612.98134         157.1418
621.04689         155.2708
629.11243         153.3859
637.17798         151.4682
645.24352         149.6609
653.30906         147.9076
661.37461         146.1961
669.44015         144.6332
677.5057         143.1804
685.57124         141.8098
693.63678         140.625
701.70233         139.5283
709.76787         138.6314
717.83342         137.8838
725.89896         137.2335
733.9645         136.7933
742.03005         136.4879
750.09559         136.272
758.16114         136.2414
766.22668         136.2874
774.29222         136.5052
782.35777         136.8334
790.42331         137.2145
798.48886         137.7401
806.5544         138.3025
806.5544         138.3025
887.20984         146.6748
1048.5207         156.0289
1129.1762         152.8205
1209.8316         146.4441
1290.487         139.2644
1371.1425         133.1893
1451.7979         129.032
1613.1088         126.9314
1693.7642         128.2224
1855.0751         132.4645
1935.7306         134.6304
2097.0414         137.6233
2177.6969         137.9833
2258.3523         138.0033
2339.0078         137.154
2419.6632         136.3667
3226.2176         119.3217
4032.772         118.7326
4839.3264         127.7001
5645.8808         133.6602
6452.4352         135.1695
7258.9896         133.1775
8872.0984         126.3582
9678.6528         122.8771
12098.316         117.5578
14240             117.4486
16240             118.031
18240             118.863
20240             120.2094
22240             121.7912
24240             122.7598
26240             123.7354
28240             124.3124
30240             123.8289
32240             122.9459
34240             122.0702
36240             120.9372  
	              
