         #By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
         #  Eng(1/cm),  el. cross section (1E-16 cm^2)
            0.806550           6.645638E+02  
            0.887210           6.540052E+02  
            0.967870           6.425868E+02  
            1.048520           6.331232E+02  
            1.129180           6.244491E+02  
            1.209830           6.164833E+02  
            1.290490           6.091164E+02  
            1.371140           6.022616E+02  
            1.451800           5.958525E+02  
            1.532450           5.898447E+02  
            1.613110           5.841993E+02  
            1.693760           5.788886E+02  
            1.774420           5.738519E+02  
            1.855080           5.690621E+02  
            1.935730           5.645099E+02  
            2.016390           5.601865E+02  
            2.097040           5.560429E+02  
            2.177700           5.520928E+02  
            2.258350           5.483074E+02  
            2.339010           5.446925E+02  
            2.419660           5.412072E+02  
            2.500320           5.378565E+02  
            2.580970           5.346385E+02  
            2.661630           5.315456E+02  
            2.742280           5.285546E+02  
            2.822940           5.256573E+02  
            2.903600           5.228594E+02  
            2.984250           5.201413E+02  
            3.064910           5.175219E+02  
            3.145560           5.149681E+02  
            3.226220           5.124838E+02  
            3.306870           5.100735E+02  
            3.387530           5.077271E+02  
            3.468180           5.054628E+02  
            3.548840           5.032378E+02  
            3.629490           5.010748E+02  
            3.710150           4.989704E+02  
            3.790810           4.969159E+02  
            3.871460           4.951199E+02  
            3.952120           4.931509E+02  
            4.032770           4.911927E+02  
            4.113430           4.893166E+02  
            4.194080           4.874823E+02  
            4.274740           4.856854E+02  
            4.355390           4.839639E+02  
            4.436050           4.822667E+02  
            4.516700           4.806002E+02  
            4.597360           4.789780E+02  
            4.678020           4.773878E+02  
            4.758670           4.758262E+02  
            4.839330           4.742979E+02  
            4.919980           4.728203E+02  
            5.000640           4.713465E+02  
            5.081290           4.699005E+02  
            5.161950           4.684812E+02  
            5.242600           4.670865E+02  
            5.323260           4.657167E+02  
            5.403910           4.643686E+02  
            5.484570           4.630632E+02  
            5.565230           4.617587E+02  
            5.645880           4.604773E+02  
            5.726540           4.592168E+02  
            5.807190           4.579739E+02  
            5.887850           4.567527E+02  
            5.968500           4.555524E+02  
            6.049160           4.543663E+02  
            6.129810           4.532224E+02  
            6.210470           4.520754E+02  
            6.291120           4.509459E+02  
            6.371780           4.498513E+02  
            6.452440           4.487343E+02  
            6.533090           4.476935E+02  
            6.613750           4.465892E+02  
            6.694400           4.455391E+02  
            6.775060           4.445297E+02  
            6.855710           4.435124E+02  
            6.936370           4.425072E+02  
            7.017020           4.415179E+02  
            7.097680           4.406038E+02  
            7.178330           4.395791E+02  
            7.258990           4.386292E+02  
            7.339650           4.376929E+02  
            7.420300           4.367684E+02  
            7.500960           4.358807E+02  
            7.581610           4.349798E+02  
            7.662270           4.340916E+02  
            7.742920           4.332159E+02  
            7.823580           4.323494E+02  
            7.904230           4.314927E+02  
            7.984890           4.306477E+02  
            8.065540           4.298129E+02  
            8.872100           4.219881E+02  
            9.678650           4.149501E+02  
           10.485210           4.085516E+02  
           11.291760           4.027011E+02  
           12.098320           3.973732E+02  
           12.904870           3.923741E+02  
