           #By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
           # Eng(1/cm),  el. cross section (1E-16 cm^2)
            0.806550         1.942042E+03  
            0.887210         3.260828E+03  
            0.967870         2.039253E+03  
            1.048520         2.723239E+03  
            1.129180         3.004904E+03  
            1.209830         2.417705E+03  
            1.290490         1.436952E+03  
            1.371140         1.808181E+03  
            1.451800         2.181665E+03  
            1.532450         2.333140E+03  
            1.613110         2.466259E+03  
            1.693760         2.212408E+03  
            1.774420         2.601707E+03  
            1.855080         2.434370E+03  
            1.935730         2.044144E+03  
            2.016390         2.470452E+03  
            2.097040         2.297412E+03  
            2.177700         2.412493E+03  
            2.258350         2.760194E+03  
            2.339010         2.994094E+03  
            2.419660         2.152765E+03  
            2.500320         2.000745E+03  
            2.580970         1.689058E+03  
            2.661630         1.707304E+03  
            2.742280         1.899082E+03  
            2.822940         2.179580E+03  
            2.903600         2.368544E+03  
            2.984250         2.457824E+03  
            3.064910         2.257550E+03  
            3.145560         2.005656E+03  
            3.226220         1.878413E+03  
            3.306870         1.860002E+03  
            3.387530         1.483404E+03  
            3.468180         1.497100E+03  
            3.548840         1.674828E+03  
            3.629490         1.409416E+03  
            3.710150         1.465628E+03  
            3.790810         1.566812E+03  
            3.871460         1.404239E+03  
            3.952120         1.869493E+03  
            4.032770         1.905666E+03  
            4.113430         1.789769E+03  
            4.194080         1.879808E+03  
            4.274740         2.356606E+03  
            4.355390         2.430271E+03  
            4.436050         2.408213E+03  
            4.516700         2.083964E+03  
            4.597360         1.851510E+03  
            4.678020         1.700129E+03  
            4.758670         1.668678E+03  
            4.839330         2.218885E+03  
            4.919980         2.026022E+03  
            5.000640         1.843019E+03  
            5.081290         1.743380E+03  
            5.161950         1.445637E+03  
            5.242600         1.710967E+03  
            5.323260         1.775171E+03  
            5.403910         1.758383E+03  
            5.484570         1.552582E+03  
            5.565230         1.673437E+03  
            5.645880         1.807625E+03  
            5.726540         1.779500E+03  
            5.807190         1.881750E+03  
            5.887850         1.731647E+03  
            5.968500         1.963304E+03  
            6.049160         2.005772E+03  
            6.129810         1.903207E+03  
            6.210470         1.787290E+03  
            6.291120         1.653644E+03  
            6.371780         1.591157E+03  
            6.452440         1.369655E+03  
            6.533090         1.347089E+03  
            6.613750         1.560513E+03  
            6.694400         1.592258E+03  
            6.775060         1.570848E+03  
            6.855710         1.510591E+03  
            6.936370         1.580951E+03  
            7.017020         1.563341E+03  
            7.097680         1.478943E+03  
            7.178330         1.407019E+03  
            7.258990         1.329221E+03  
            7.339650         1.535655E+03  
            7.420300         1.655166E+03  
            7.500960         1.519127E+03  
            7.581610         1.357250E+03  
            7.662270         1.319100E+03  
            7.742920         1.349533E+03  
            7.823580         1.418381E+03  
            7.904230         1.352607E+03  
            7.984890         1.268698E+03  
            8.065540         1.479583E+03  
            8.872100         1.751329E+03  
            9.678650         1.607566E+03  
           10.485210         1.601397E+03  
           11.291760         1.521430E+03  
           12.098320         1.446768E+03  
           12.904870         1.407881E+03  
           13.711420         1.342611E+03  
           14.517980         1.609850E+03  
           15.324530         1.348288E+03  
           16.131090         1.516822E+03  
           16.937640         1.470303E+03  
           17.744200         1.429951E+03  
           18.550750         1.429571E+03  
           19.357310         1.545642E+03  
           20.163860         1.259627E+03  
           20.970410         1.338856E+03  
           21.776970         1.310806E+03  
