           #By Sanchit Chhabra, Marko Gacesa, Malathe S. Khalil, Amal Al Ghaferi, and Nayla El-Kork on September 15 2022 
           # Eng(1/cm),  el. cross section (1E-16 cm^2)
		    0.806550         4.568316E+02  
            0.887210         4.994968E+02  
            0.967870         4.349645E+02  
            1.048520         6.374283E+02  
            1.129180         4.915041E+02  
            1.209830         3.593516E+02  
            1.290490         3.307308E+02  
            1.371140         4.638229E+02  
            1.451800         3.563214E+02  
            1.532450         3.427119E+02  
            1.613110         4.345017E+02  
            1.693760         3.398470E+02  
            1.774420         4.712690E+02  
            1.855080         4.796001E+02  
            1.935730         4.802279E+02  
            2.016390         3.409630E+02  
            2.097040         3.380701E+02  
            2.177700         3.319302E+02  
            2.258350         4.776587E+02  
            2.339010         2.802866E+02  
            2.419660         3.331805E+02  
            2.500320         4.336634E+02  
            2.580970         4.298231E+02  
            2.661630         2.839053E+02  
            2.742280         2.982416E+02  
            2.822940         2.627889E+02  
            2.903600         2.815290E+02  
            2.984250         3.082955E+02  
            3.064910         4.844712E+02  
            3.145560         4.143108E+02  
            3.226220         3.813645E+02  
            3.306870         3.664875E+02  
            3.387530         3.812632E+02  
            3.468180         4.495549E+02  
            3.548840         4.788209E+02  
            3.629490         4.842586E+02  
            3.710150         4.735790E+02  
            3.790810         4.946957E+02  
            3.871460         5.082193E+02  
            3.952120         4.804257E+02  
            4.032770         4.717451E+02  
            4.113430         4.471168E+02  
            4.194080         4.164317E+02  
            4.274740         4.581183E+02  
            4.355390         3.831115E+02  
            4.436050         3.143876E+02  
            4.516700         3.826647E+02  
            4.597360         4.519786E+02  
            4.678020         4.215601E+02  
            4.758670         3.890295E+02  
            4.839330         4.154799E+02  
            4.919980         4.204595E+02  
            5.000640         3.375041E+02  
            5.081290         3.533246E+02  
            5.161950         3.811576E+02  
            5.242600         2.477828E+02  
            5.323260         2.662612E+02  
            5.403910         2.540586E+02  
            5.484570         3.756944E+02  
            5.565230         2.191324E+02  
            5.645880         1.932447E+02  
            5.726540         2.763604E+02  
            5.807190         2.189459E+02  
            5.887850         2.223275E+02  
            5.968500         2.208399E+02  
            6.049160         1.844432E+02  
            6.129810         1.658776E+02  
            6.210470         2.011586E+02  
            6.291120         2.857502E+02  
            6.371780         2.030548E+02  
            6.452440         1.990350E+02  
            6.533090         1.934108E+02  
            6.613750         2.364706E+02  
            6.694400         1.945264E+02  
            6.775060         2.002403E+02  
            6.855710         1.652999E+02  
            6.936370         2.159305E+02  
            7.017020         2.492443E+02  
            7.097680         2.949719E+02  
            7.178330         2.857143E+02  
            7.258990         2.303497E+02  
            7.339650         1.822057E+02  
            7.420300         2.246110E+02  
            7.500960         2.520028E+02  
            7.581610         2.583975E+02  
            7.662270         2.686511E+02  
            7.742920         2.905868E+02  
            7.823580         2.663726E+02  
            7.904230         2.719879E+02  
            7.984890         2.376053E+02  
            8.065540         2.083745E+02  
            8.872100         2.845609E+02  
            9.678650         2.668635E+02  
           10.485210         3.192268E+02  
           11.291760         3.139846E+02  
           12.098320         3.285398E+02  
           12.904870         4.121278E+02  
           13.711420         3.800811E+02  
           14.517980         2.867189E+02  
           15.324530         2.662204E+02  
           16.131090         3.342882E+02  
           16.937640         3.185738E+02  
           17.744200         2.639680E+02  
           18.550750         2.742285E+02  
           19.357310         2.293530E+02  
           20.163860         2.067260E+02  
           20.970410         2.084180E+02  
           21.776970         2.039906E+02  
           22.583520         2.337287E+02  
           23.390080         1.792683E+02  
           24.196630         1.803696E+02  
           25.003190         2.090297E+02  
           25.809740         2.107400E+02  
           26.616300         2.365905E+02  
           27.422850         2.238806E+02  
           28.229400         1.691549E+02  
           29.035960         1.888591E+02  
           29.842510         2.032194E+02  
           30.649070         2.024796E+02  
           31.455620         2.213814E+02  
           32.262180         1.955294E+02  
           33.068730         1.837402E+02  
           33.875280         2.122504E+02  
           34.681840         1.988177E+02  
           35.488390         2.011003E+02  
