# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
# INCOMPLETE CO model: only published jf<=30 channels; missing high-j contribution is unknown.
energy_eV,delta_E_eV
9.99995e-05,0.000000000000e+00
0.00011,0.000000000000e+00
0.000120001,0.000000000000e+00
0.00013,0.000000000000e+00
0.00014,0.000000000000e+00
0.00015,0.000000000000e+00
0.00016,0.000000000000e+00
0.00017,0.000000000000e+00
0.00018,0.000000000000e+00
0.00019,0.000000000000e+00
0.0002,0.000000000000e+00
0.000209999,0.000000000000e+00
0.00022,0.000000000000e+00
0.000230001,0.000000000000e+00
0.00024,0.000000000000e+00
0.00025,0.000000000000e+00
0.00026,0.000000000000e+00
0.00027,0.000000000000e+00
0.00028,0.000000000000e+00
0.00029,0.000000000000e+00
0.0003,0.000000000000e+00
0.00031,0.000000000000e+00
0.000319999,0.000000000000e+00
0.00033,0.000000000000e+00
0.000339999,0.000000000000e+00
0.00035,0.000000000000e+00
0.000360001,0.000000000000e+00
0.00037,0.000000000000e+00
0.00038,0.000000000000e+00
0.00039,0.000000000000e+00
0.0004,0.000000000000e+00
0.00041,0.000000000000e+00
0.00042,0.000000000000e+00
0.00043,0.000000000000e+00
0.00044,0.000000000000e+00
0.000449999,0.000000000000e+00
0.00046,0.000000000000e+00
0.000470001,0.000000000000e+00
0.00048,4.785790059522e-04
0.00049,4.785790059522e-04
0.0005,4.785790059522e-04
0.00051,4.785790059522e-04
0.00052,4.785790059522e-04
0.00053,4.785790059522e-04
0.00054,4.785790059522e-04
0.00055,4.785790059522e-04
0.000559999,4.785790059522e-04
0.00057,4.785790059522e-04
0.000580001,4.785790059522e-04
0.00059,4.785790059522e-04
0.0006,4.785790059522e-04
0.00061,4.785790059522e-04
0.00062,4.785790059522e-04
0.00063,4.785790059522e-04
0.00064,4.785790059522e-04
0.00065,4.785790059522e-04
0.00066,4.785790059522e-04
0.000669999,4.785790059522e-04
0.00068,4.785790059522e-04
0.000690001,4.785790059522e-04
0.0007,4.785790059522e-04
0.00071,4.785790059522e-04
0.00072,4.785790059522e-04
0.00073,4.785790059522e-04
0.00074,4.785790059522e-04
0.00075,4.785790059522e-04
0.00076,4.785790059522e-04
0.00077,4.785790059522e-04
0.000779999,4.785790059522e-04
0.00079,4.785790059522e-04
0.000800001,4.785790059522e-04
0.00081,4.785790059522e-04
0.00082,4.785790059522e-04
0.00083,4.785790059522e-04
0.00084,4.785790059522e-04
0.00085,4.785790059522e-04
0.00086,4.785790059522e-04
0.00087,4.785790059522e-04
0.00088,4.785790059522e-04
0.000889999,4.785790059522e-04
0.0009,4.785790059522e-04
0.000910001,4.785790059522e-04
0.00092,4.785790059522e-04
0.000930001,4.785790059522e-04
0.00094,4.785790059522e-04
0.00095,4.785790059522e-04
0.00096,4.785790059522e-04
0.00097,4.785790059522e-04
0.00098,4.785790059522e-04
0.00099,4.785790059522e-04
0.001,4.785790059522e-04
0.0011,4.785790059522e-04
0.0012,4.785790059522e-04
0.0013,4.785790059522e-04
0.0014,4.785790059522e-04
0.0015,5.392300606647e-04
0.0016,6.088235874449e-04
0.0017,6.592315451265e-04
0.0018,6.974264657443e-04
0.0019,7.273672891394e-04
0.002,7.514687229283e-04
0.0021,7.712872765413e-04
0.0022,7.878714096109e-04
0.0023,8.019531797611e-04
0.0024,8.140592236405e-04
0.0025,8.245780869645e-04
0.0026,8.338027015425e-04
0.0027,8.419580917781e-04
0.0028,8.492199745686e-04
0.0029,8.639131218697e-04
0.003,8.960904734249e-04
0.0031,9.245177176928e-04
0.0032,9.498143397546e-04
0.0033,9.724705010158e-04
0.0034,9.928791123165e-04
0.0035,1.011358812914e-03
0.0036,1.028170727937e-03
0.0037,1.043530884666e-03
0.0038,1.057619545408e-03
0.0039,1.070588314783e-03
0.004,1.082565616954e-03
0.0041,1.093660962893e-03
0.0042,1.103968308460e-03
0.0043,1.113568721531e-03
0.0044,1.122532518544e-03
0.0045,1.130920989661e-03
0.0046,1.138787802067e-03
0.0047,1.146180149375e-03
0.0048,1.155887264449e-03
0.0049,1.181009908921e-03
0.005,1.204507730190e-03
0.0051,1.226533420259e-03
0.0052,1.247221120028e-03
0.0053,1.266689153546e-03
0.0054,1.285042292511e-03
0.0055,1.302373642542e-03
0.0056,1.318766222942e-03
0.0057,1.334294296526e-03
