# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
# INCOMPLETE CO model: only published jf<=30 channels; missing high-j contribution is unknown.
energy_eV,elastic_fraction
9.99995e-05,1.000000000000e+00
0.00011,1.000000000000e+00
0.000120001,1.000000000000e+00
0.00013,1.000000000000e+00
0.00014,1.000000000000e+00
0.00015,1.000000000000e+00
0.00016,1.000000000000e+00
0.00017,1.000000000000e+00
0.00018,1.000000000000e+00
0.00019,1.000000000000e+00
0.0002,1.000000000000e+00
0.000209999,1.000000000000e+00
0.00022,1.000000000000e+00
0.000230001,1.000000000000e+00
0.00024,1.000000000000e+00
0.00025,1.000000000000e+00
0.00026,1.000000000000e+00
0.00027,1.000000000000e+00
0.00028,1.000000000000e+00
0.00029,1.000000000000e+00
0.0003,1.000000000000e+00
0.00031,1.000000000000e+00
0.000319999,1.000000000000e+00
0.00033,1.000000000000e+00
0.000339999,1.000000000000e+00
0.00035,1.000000000000e+00
0.000360001,1.000000000000e+00
0.00037,1.000000000000e+00
0.00038,1.000000000000e+00
0.00039,1.000000000000e+00
0.0004,1.000000000000e+00
0.00041,1.000000000000e+00
0.00042,1.000000000000e+00
0.00043,1.000000000000e+00
0.00044,1.000000000000e+00
0.000449999,1.000000000000e+00
0.00046,1.000000000000e+00
0.000470001,1.000000000000e+00
0.00048,9.999832298171e-01
0.00049,9.998679250765e-01
0.0005,9.997571657375e-01
0.00051,9.996506829213e-01
0.00052,9.995482285378e-01
0.00053,9.994495733142e-01
0.00054,9.993545050445e-01
0.00055,9.992628270303e-01
0.000559999,9.991743653818e-01
0.00057,9.990889243122e-01
0.000580001,9.990063638303e-01
0.00059,9.989265523970e-01
0.0006,9.988493283243e-01
0.00061,9.987745714345e-01
0.00062,9.987021617456e-01
0.00063,9.986319869256e-01
0.00064,9.985639416924e-01
0.00065,9.984979272690e-01
0.00066,9.984338508887e-01
0.000669999,9.983716314780e-01
0.00068,9.983111685817e-01
0.000690001,9.982523975221e-01
0.0007,9.981952567007e-01
0.00071,9.981396600047e-01
0.00072,9.980855483312e-01
0.00073,9.980328603518e-01
0.00074,9.979815380646e-01
0.00075,9.979315265723e-01
0.00076,9.978827738769e-01
0.00077,9.978352306905e-01
0.000779999,9.977888548429e-01
0.00079,9.977435882132e-01
0.000800001,9.976993980290e-01
0.00081,9.976562527447e-01
0.00082,9.976141011602e-01
0.00083,9.975729113816e-01
0.00084,9.975326488811e-01
0.00085,9.974932807605e-01
0.00086,9.974547756565e-01
0.00087,9.974171036520e-01
0.00088,9.973802361938e-01
0.000889999,9.973441495867e-01
0.0009,9.973088070668e-01
0.000910001,9.972741910188e-01
0.00092,9.972402843320e-01
0.000930001,9.972070506498e-01
0.00094,9.971744814500e-01
0.00095,9.971425459673e-01
0.00096,9.971112274680e-01
0.00097,9.970805067570e-01
0.00098,9.970503654244e-01
0.00099,9.970207858062e-01
0.001,9.969917509465e-01
0.0011,9.967280756530e-01
0.0012,9.965043562900e-01
0.0013,9.963113063487e-01
0.0014,9.961422968991e-01
0.0015,9.957225088582e-01
0.0016,9.952089406553e-01
0.0017,9.947499914724e-01
0.0018,9.943364273829e-01
0.0019,9.939609686915e-01
0.002,9.936177986216e-01
0.0021,9.933022131245e-01
0.0022,9.930103666792e-01
0.0023,9.927390847272e-01
0.0024,9.924857232159e-01
0.0025,9.922480620014e-01
0.0026,9.920242229564e-01
0.0027,9.918126063503e-01
0.0028,9.916118409163e-01
0.0029,9.913860648536e-01
0.003,9.910866416707e-01
0.0031,9.908015857151e-01
0.0032,9.905294755110e-01
0.0033,9.902690617850e-01
0.0034,9.900192419668e-01
0.0035,9.897790390855e-01
0.0036,9.895475842021e-01
0.0037,9.893241017060e-01
0.0038,9.891078969444e-01
0.0039,9.888983457642e-01
0.004,9.886948856302e-01
0.0041,9.884970080480e-01
0.0042,9.883042520743e-01
0.0043,9.881161987366e-01
0.0044,9.879324662160e-01
0.0045,9.877527056749e-01
0.0046,9.875765976302e-01
0.0047,9.874038487913e-01
0.0048,9.872246499736e-01
0.0049,9.869919245897e-01
0.005,9.867638556473e-01
0.0051,9.865400998136e-01
0.0052,9.863203390309e-01
0.0053,9.861042780861e-01
0.0054,9.858916424508e-01
0.0055,9.856821763573e-01
0.0056,9.854756410814e-01
0.0057,9.852718134056e-01
0.0058,9.850704842417e-01
0.0059,9.848714573929e-01
0.006,9.846745484391e-01
0.0061,9.844795837324e-01
0.0062,9.842863994879e-01
0.0063,9.840948409616e-01
0.0064,9.839047617040e-01
0.0065,9.837160228823e-01
0.0066,9.835284926630e-01
0.0067,9.833420456488e-01
0.0068,9.831565623648e-01
0.0069,9.829719287880e-01
0.007,9.827880359158e-01
0.0071,9.826047793705e-01
0.0072,9.824137446428e-01
0.0073,9.821928634307e-01
0.0074,9.819729747651e-01
0.0075,9.817539567921e-01
0.0076,9.815356923180e-01
0.0077,9.813180684552e-01
0.0078,9.811009762944e-01
0.0079,9.808843105997e-01
0.008,9.806679695252e-01
0.0081,9.804518543509e-01
0.0082,9.802358692363e-01
0.0083,9.800199209897e-01
0.0084,9.798039188527e-01
0.0085,9.795877742974e-01
0.0086,9.793714008363e-01
0.0087,9.791547138431e-01
0.0088,9.789376303834e-01
0.0089,9.787200690550e-01
0.009,9.785019498364e-01
0.0091,9.782831939430e-01
0.0092,9.780637236905e-01
0.0093,9.778434623643e-01
0.0094,9.776223340947e-01
0.0095,9.774002637377e-01
0.0096,9.771771767604e-01
0.0097,9.769529991302e-01
0.0098,9.767276572086e-01
0.0099,9.765010776477e-01
0.01,9.762731872903e-01
0.011,9.736260127388e-01
0.012,9.707614688441e-01
0.013,9.675999025519e-01
0.014,9.639286108924e-01
0.015,9.596319917742e-01
0.016,9.546257610891e-01
0.017,9.534969638510e-01
0.018,9.522942247059e-01
0.019,9.511206432688e-01
0.02,9.500081184571e-01
0.021,9.489464674467e-01
0.022,9.478758234497e-01
0.023,9.467872694688e-01
0.024,9.457358299493e-01
0.025,9.447156597847e-01
0.026,9.437217789056e-01
0.027,9.426860563041e-01
0.028,9.416428759766e-01
0.029,9.406196365115e-01
0.03,9.396129617982e-01
0.034,9.361977201401e-01
0.035,9.355066050437e-01
0.036,9.348338350016e-01
0.037,9.341776529194e-01
0.038,9.334962988382e-01
0.039,9.328110838061e-01
0.04,9.321407057753e-01
0.041,9.314838175800e-01
0.042,9.308391979155e-01
0.043,9.302057364311e-01
0.044,9.295599349283e-01
0.045,9.288971705845e-01
0.046,9.282445705574e-01
0.047,9.276012342829e-01
0.048,9.270231779657e-01
0.049,9.266395606613e-01
0.05,9.262673954334e-01
0.051,9.258726873624e-01
0.052,9.254784094939e-01
0.053,9.250952353758e-01
0.054,9.247225254100e-01
0.055,9.243596871686e-01
0.056,9.240061711188e-01
0.057,9.236614668044e-01
0.058,9.233070700002e-01
0.059,9.229478132778e-01
0.06,9.225970341555e-01
0.061,9.222542970794e-01
0.062,9.219191949714e-01
0.063,9.215913469348e-01
0.064,9.212534696520e-01
0.065,9.208900919135e-01
0.066,9.205040620324e-01
0.067,9.201215903013e-01
0.068,9.197450998991e-01
0.069,9.193742988190e-01
0.07,9.190089117959e-01
0.071,9.186486791084e-01
0.072,9.182933554821e-01
0.073,9.179427090842e-01
0.074,9.175796268474e-01
0.075,9.172164280317e-01
0.076,9.168577915937e-01
0.077,9.165035102617e-01
0.078,9.161533873630e-01
0.079,9.158072361418e-01
0.08,9.154761025574e-01
0.081,9.151619539712e-01
0.082,9.148479688877e-01
0.083,9.145195544690e-01
0.084,9.141950333780e-01
0.085,9.138742481021e-01
0.086,9.135570484603e-01
0.087,9.132432911753e-01
0.088,9.129328394742e-01
0.089,9.126255627171e-01
0.1,9.095911088356e-01
0.11,9.073370446026e-01
0.13,9.040680844009e-01
0.14,9.016318677133e-01
0.15,8.996649639716e-01
0.16,8.978419605232e-01
0.17,8.950976452842e-01
0.18,8.929065762781e-01
0.2,8.902674619504e-01
0.21,8.891305332453e-01
0.23,8.861436326489e-01
0.24,8.847994808550e-01
0.26,8.835074853656e-01
0.27,8.830008325198e-01
0.28,8.820181434633e-01
0.29,8.809068937296e-01
0.3,8.795862742038e-01
0.4,8.707339492949e-01
0.5,8.650670579540e-01
0.6,8.611591685832e-01
0.7,8.568755146999e-01
0.8,8.577107210400e-01
0.9,8.567349614850e-01
1,8.544635261938e-01
1.1,8.535487680106e-01
1.3,8.558008779164e-01
1.5,8.568212327205e-01
1.75,8.535890450404e-01
2,8.531077073427e-01
2.25,8.556308114734e-01
2.5,8.580163892751e-01
2.75,8.596255792300e-01
3,8.598129208828e-01
3.25,8.584828042604e-01
3.5,8.568992636068e-01
3.75,8.558341561732e-01
4,8.554634599456e-01
4.25,8.557553771378e-01
4.5,8.565490118573e-01
4.75,8.562114760155e-01
