# O-CO inelastic DCS at energy index 277
# DCS_inelastic = DCS_total - DCS_elastic (clamped >= 0)
# Source: 18O-CO proxy, PES-averaged (3Ap, 3Adp, 2-3Adp)
# Generated by compute_inelastic_tables_OCO.py
angle_degrees,cross_section_cm2
0.100000,6.9419448927e-13
0.200000,5.9230393343e-13
0.300000,4.4873398128e-13
0.400000,2.9464825611e-13
0.500000,1.6011579745e-13
0.600000,6.6156761970e-14
0.700000,2.0237933229e-14
0.800000,1.6363878252e-14
0.900000,3.9173449488e-14
1.000000,7.0166909263e-14
1.100000,9.3783886766e-14
1.200000,1.0144527285e-13
1.300000,9.2595289448e-14
1.400000,7.2901429231e-14
1.500000,5.0721716676e-14
1.600000,3.3418088661e-14
1.700000,2.4905747414e-14
1.800000,2.5080833242e-14
1.900000,3.0879723348e-14
2.000000,3.8147453622e-14
2.100000,4.3405815285e-14
2.200000,4.4899171170e-14
2.300000,4.2730997093e-14
2.400000,3.8285439970e-14
2.500000,3.3339352730e-14
2.600000,2.9284166645e-14
2.700000,2.6731657422e-14
2.800000,2.5556080693e-14
2.900000,2.5230884006e-14
3.000000,2.5226769516e-14
3.100000,2.5263310921e-14
3.200000,2.5318840255e-14
3.300000,2.5450837861e-14
3.400000,2.5586931408e-14
3.500000,2.5448771276e-14
3.600000,2.4668730728e-14
3.700000,2.3026167870e-14
3.800000,2.0651233437e-14
3.900000,1.8060528073e-14
4.000000,1.5983261015e-14
4.100000,1.5052467225e-14
4.200000,1.5510225763e-14
4.300000,1.7072151321e-14
4.400000,1.9019721142e-14
4.500000,2.0479616281e-14
4.600000,2.0764041394e-14
4.700000,1.9627599852e-14
4.800000,1.7345215655e-14
4.900000,1.4595751599e-14
5.000000,1.2208371788e-14
5.100000,1.0871135891e-14
5.200000,1.0904618887e-14
5.300000,1.2170148708e-14
5.400000,1.4130785548e-14
5.500000,1.6036376077e-14
5.600000,1.7172375579e-14
5.700000,1.7095573018e-14
5.800000,1.5781115340e-14
5.900000,1.3629504311e-14
6.000000,1.1326783333e-14
6.100000,9.6027555134e-15
6.200000,8.9721827237e-15
6.300000,9.5545440759e-15
6.400000,1.1040618846e-14
6.500000,1.2817859550e-14
6.600000,1.4204369460e-14
6.700000,1.4698761718e-14
6.800000,1.4148551138e-14
6.900000,1.2776849908e-14
7.000000,1.1069047035e-14
7.100000,9.5765497412e-15
7.200000,8.7190452978e-15
7.300000,8.6562423548e-15
7.400000,9.2654149730e-15
7.500000,1.0217515927e-14
7.600000,1.1109642616e-14
7.700000,1.1599993885e-14
7.800000,1.1503740325e-14
7.900000,1.0830500960e-14
