# Total energy eV; state-to-state integral cross sections in cm^2.
# Chhabra et al. (2023), doi:10.1093/mnras/stac3057, Table 2. 16O, equal PES weights.
# TRUNCATED: only j_final <= 30 supplied; published calculation used j_max=70.
total_energy_eV,ji,jf,sigma_cm2
0.7,0,0,2.928610000000e-14
0.7,0,1,7.865333333333e-16
0.7,0,2,8.446000000000e-16
0.7,0,3,4.477000000000e-16
0.7,0,4,3.764333333333e-16
0.7,0,5,2.913000000000e-16
0.7,0,6,2.689000000000e-16
0.7,0,7,1.547333333333e-16
0.7,0,8,1.816666666667e-16
0.7,0,9,1.293666666667e-16
0.7,0,10,1.291666666667e-16
0.7,0,11,1.240666666667e-16
0.7,0,12,1.077666666667e-16
0.7,0,13,1.013000000000e-16
0.7,0,14,1.018000000000e-16
0.7,0,15,8.116666666667e-17
0.7,0,16,8.923333333333e-17
0.7,0,17,6.846666666667e-17
0.7,0,18,7.453333333333e-17
0.7,0,19,5.803333333333e-17
0.7,0,20,5.696666666667e-17
0.7,0,21,5.466666666667e-17
0.7,0,22,5.030000000000e-17
0.7,0,23,4.836666666667e-17
0.7,0,24,5.513333333333e-17
0.7,0,25,4.036666666667e-17
0.7,0,26,4.760000000000e-17
0.7,0,27,3.460000000000e-17
0.7,0,28,4.486666666667e-17
0.7,0,29,2.023333333333e-17
0.7,0,30,2.286666666667e-17
1.5,0,0,2.588426666667e-14
1.5,0,1,8.580333333333e-16
1.5,0,2,6.582000000000e-16
1.5,0,3,3.780333333333e-16
1.5,0,4,2.460333333333e-16
1.5,0,5,2.555000000000e-16
1.5,0,6,1.617666666667e-16
1.5,0,7,1.674333333333e-16
1.5,0,8,1.195333333333e-16
1.5,0,9,1.332666666667e-16
1.5,0,10,1.050333333333e-16
1.5,0,11,1.085333333333e-16
1.5,0,12,9.533333333333e-17
1.5,0,13,8.866666666667e-17
1.5,0,14,8.276666666667e-17
1.5,0,15,7.520000000000e-17
1.5,0,16,7.786666666667e-17
1.5,0,17,7.080000000000e-17
1.5,0,18,6.913333333333e-17
1.5,0,19,5.690000000000e-17
1.5,0,20,5.683333333333e-17
1.5,0,21,5.566666666667e-17
1.5,0,22,5.726666666667e-17
1.5,0,23,5.170000000000e-17
1.5,0,24,5.503333333333e-17
1.5,0,25,4.433333333333e-17
1.5,0,26,5.276666666667e-17
1.5,0,27,3.866666666667e-17
1.5,0,28,4.080000000000e-17
1.5,0,29,3.386666666667e-17
1.5,0,30,3.073333333333e-17
3,0,0,2.335296666667e-14
3,0,1,7.575000000000e-16
3,0,2,5.375666666667e-16
3,0,3,3.360666666667e-16
3,0,4,2.075666666667e-16
3,0,5,1.951333333333e-16
3,0,6,1.230000000000e-16
3,0,7,1.371000000000e-16
3,0,8,1.056000000000e-16
3,0,9,1.222666666667e-16
3,0,10,9.496666666667e-17
3,0,11,9.440000000000e-17
3,0,12,8.023333333333e-17
3,0,13,8.160000000000e-17
3,0,14,7.116666666667e-17
3,0,15,7.143333333333e-17
3,0,16,6.246666666667e-17
3,0,17,6.510000000000e-17
3,0,18,5.333333333333e-17
3,0,19,6.396666666667e-17
3,0,20,5.626666666667e-17
3,0,21,5.970000000000e-17
3,0,22,5.540000000000e-17
3,0,23,5.270000000000e-17
3,0,24,6.110000000000e-17
3,0,25,3.950000000000e-17
3,0,26,5.733333333333e-17
3,0,27,4.923333333333e-17
3,0,28,4.266666666667e-17
3,0,29,3.736666666667e-17
3,0,30,3.580000000000e-17
4.5,0,0,2.096010000000e-14
4.5,0,1,6.391000000000e-16
4.5,0,2,4.921333333333e-16
4.5,0,3,2.906333333333e-16
4.5,0,4,2.099000000000e-16
4.5,0,5,1.804000000000e-16
4.5,0,6,1.128000000000e-16
4.5,0,7,1.243333333333e-16
4.5,0,8,9.946666666667e-17
4.5,0,9,1.098666666667e-16
4.5,0,10,9.033333333333e-17
4.5,0,11,8.936666666667e-17
4.5,0,12,7.216666666667e-17
4.5,0,13,8.360000000000e-17
4.5,0,14,6.506666666667e-17
4.5,0,15,7.873333333333e-17
4.5,0,16,5.416666666667e-17
4.5,0,17,6.546666666667e-17
4.5,0,18,5.323333333333e-17
4.5,0,19,6.030000000000e-17
4.5,0,20,5.450000000000e-17
4.5,0,21,4.880000000000e-17
4.5,0,22,5.953333333333e-17
4.5,0,23,3.880000000000e-17
4.5,0,24,6.113333333333e-17
4.5,0,25,4.353333333333e-17
4.5,0,26,5.733333333333e-17
4.5,0,27,5.033333333333e-17
4.5,0,28,4.340000000000e-17
4.5,0,29,4.333333333333e-17
4.5,0,30,3.873333333333e-17
