# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
# INCOMPLETE CO model: only published jf<=30 channels; missing high-j contribution is unknown.
energy_eV,sigma_total_cm2
9.99995e-05,1.410749000000e-13
0.00011,1.410187246066e-13
0.000120001,1.409624749711e-13
0.00013,1.409062365843e-13
0.00014,1.408499925732e-13
0.00015,1.407937485621e-13
0.00016,1.407375045510e-13
0.00017,1.406812605399e-13
0.00018,1.406250165288e-13
0.00019,1.405687725176e-13
0.0002,1.405125285065e-13
0.000209999,1.404562901198e-13
0.00022,1.404000404843e-13
0.000230001,1.403437908488e-13
0.00024,1.402875524621e-13
0.00025,1.402313084509e-13
0.00026,1.401750644398e-13
0.00027,1.401188204287e-13
0.00028,1.400625764176e-13
0.00029,1.400063324065e-13
0.0003,1.399500883954e-13
0.00031,1.398938443842e-13
0.000319999,1.398376059975e-13
0.00033,1.397813563620e-13
0.000339999,1.397251179753e-13
0.00035,1.396688683398e-13
0.000360001,1.396126187043e-13
0.00037,1.395563803176e-13
0.00038,1.395001363064e-13
0.00039,1.394438922953e-13
0.0004,1.393876482842e-13
0.00041,1.393314042731e-13
0.00042,1.392751602620e-13
0.00043,1.392189162509e-13
0.00044,1.391626722397e-13
0.000449999,1.391064338530e-13
0.00046,1.390501842175e-13
0.000470001,1.389939345820e-13
0.00048,1.389400262449e-13
0.00049,1.388997973643e-13
0.0005,1.388589278784e-13
0.00051,1.388174554699e-13
0.00052,1.387754149229e-13
0.00053,1.387328383961e-13
0.00054,1.386897556662e-13
0.00055,1.386461943443e-13
0.000559999,1.386021844924e-13
0.00057,1.385577366805e-13
0.000580001,1.385128818691e-13
0.00059,1.384676498398e-13
0.0006,1.384220463899e-13
0.00061,1.383760940692e-13
0.00062,1.383298097585e-13
0.00063,1.382832092668e-13
0.00064,1.382363074151e-13
0.00065,1.381891181123e-13
0.00066,1.381416544245e-13
0.000669999,1.380939334227e-13
0.00068,1.380459523144e-13
0.000690001,1.379977315150e-13
0.0007,1.379492910093e-13
0.00071,1.379006259895e-13
0.00072,1.378517504422e-13
0.00073,1.378026730191e-13
0.00074,1.377534019045e-13
0.00075,1.377039448459e-13
0.00076,1.376543091834e-13
0.00077,1.376045018754e-13
0.000779999,1.375545345290e-13
0.00079,1.375043983959e-13
0.000800001,1.374541094102e-13
0.00081,1.374036833341e-13
0.00082,1.373531104442e-13
0.00083,1.373024009007e-13
0.00084,1.372515595842e-13
0.00085,1.372005911455e-13
0.00086,1.371495000190e-13
0.00087,1.370982904354e-13
0.00088,1.370469664330e-13
0.000889999,1.369955370175e-13
0.0009,1.369439904277e-13
0.000910001,1.368923404640e-13
0.00092,1.368406008564e-13
0.000930001,1.367887541326e-13
0.00094,1.367368241169e-13
0.00095,1.366847982006e-13
0.00096,1.366326844074e-13
0.00097,1.365804854550e-13
0.00098,1.365282039504e-13
0.00099,1.364758423951e-13
0.001,1.364234031907e-13
0.0011,1.358952063403e-13
0.0012,1.353613022798e-13
0.0013,1.348230080576e-13
0.0014,1.342812644227e-13
0.0015,1.337730199693e-13
0.0016,1.332769045090e-13
0.0017,1.327729861486e-13
0.0018,1.322625653714e-13
0.0019,1.317466688749e-13
0.002,1.312261180169e-13
0.0021,1.307015777062e-13
0.0022,1.301735919591e-13
0.0023,1.296426101803e-13
0.0024,1.291090068739e-13
0.0025,1.285730966231e-13
0.0026,1.280351456138e-13
0.0027,1.274953805969e-13
0.0028,1.269539959304e-13
0.0029,1.264155811224e-13
0.003,1.258862748706e-13
0.0031,1.253548309505e-13
0.0032,1.248214497684e-13
0.0033,1.242863074391e-13
0.0034,1.237495593580e-13
0.0035,1.232113431608e-13
0.0036,1.226717811906e-13
0.0037,1.221309825642e-13
0.0038,1.215890449123e-13
0.0039,1.210460558521e-13
0.004,1.205020942395e-13
0.0041,1.199572312366e-13
0.0042,1.194115312287e-13
0.0043,1.188650526112e-13
0.0044,1.183178484713e-13
0.0045,1.177699671772e-13
0.0046,1.172214528910e-13
0.0047,1.166723460165e-13
0.0048,1.161238056567e-13
0.0049,1.155813339904e-13
0.005,1.150380635864e-13
0.0051,1.144940414291e-13
0.0052,1.139493108890e-13
0.0053,1.134039120632e-13
0.0054,1.128578820786e-13
0.0055,1.123112553622e-13
0.0056,1.117640638817e-13
0.0057,1.112163373615e-13
0.0058,1.106681034761e-13
0.0059,1.101193880238e-13
0.006,1.095702150828e-13
0.0061,1.090206071526e-13
0.0062,1.084705852811e-13
0.0063,1.079201691798e-13
0.0064,1.073693773282e-13
0.0065,1.068182270685e-13
0.0066,1.062667346922e-13
0.0067,1.057149155178e-13
0.0068,1.051627839629e-13
0.0069,1.046103536093e-13
0.007,1.040576372626e-13
0.0071,1.035046470071e-13
0.0072,1.029522655567e-13
0.0073,1.024027809188e-13
0.0074,1.018529461329e-13
0.0075,1.013027752050e-13
0.0076,1.007522814039e-13
0.0077,1.002014773090e-13
0.0078,9.965037485473e-14
0.0079,9.909898537116e-14
0.008,9.854731962189e-14
0.0081,9.799538783900e-14
0.0082,9.744319975542e-14
0.0083,9.689076463503e-14
0.0084,9.633809130058e-14
0.0085,9.578518815961e-14
0.0086,9.523206322864e-14
0.0087,9.467872415560e-14
0.0088,9.412517824078e-14
0.0089,9.357143245638e-14
0.009,9.301749346472e-14
0.0091,9.246336763526e-14
0.0092,9.190906106055e-14
0.0093,9.135457957108e-14
0.0094,9.079992874924e-14
0.0095,9.024511394235e-14
0.0096,8.969014027496e-14
0.0097,8.913501266028e-14
0.0098,8.857973581097e-14
0.0099,8.802431424930e-14
0.01,8.746875231664e-14
0.011,8.192981232747e-14
0.012,7.637776917278e-14
0.013,7.081459402471e-14
0.014,6.524943077236e-14
0.015,5.968057812287e-14
0.016,5.416710080338e-14
0.017,5.377450292243e-14
0.018,5.338511920887e-14
0.019,5.299312605953e-14
0.02,5.259678376900e-14
0.021,5.219671364315e-14
0.022,5.179623875628e-14
0.023,5.139583037352e-14
0.024,5.099249897588e-14
0.025,5.058659532514e-14
0.026,5.017841621975e-14
0.027,4.977158550561e-14
0.028,4.936425080134e-14
0.029,4.895497472761e-14
0.03,4.854395142138e-14
0.034,4.739808165503e-14
0.035,4.722092602945e-14
0.036,4.704258528376e-14
0.037,4.686315550877e-14
0.038,4.668473232106e-14
0.039,4.650624097361e-14
0.04,4.632674980415e-14
0.041,4.614633197039e-14
0.042,4.596505366264e-14
0.043,4.578297491396e-14
0.044,4.560125336242e-14
0.045,4.542010855093e-14
0.046,4.523820969700e-14
0.047,4.505560493100e-14
0.048,4.490729142948e-14
0.049,4.487147839846e-14
0.05,4.483508136926e-14
0.051,4.479974582325e-14
0.052,4.476435932823e-14
0.053,4.472840579583e-14
0.054,4.469191672814e-14
0.055,4.465492133616e-14
0.056,4.461744674442e-14
0.057,4.457951817396e-14
0.058,4.454202886214e-14
0.059,4.450474510500e-14
0.06,4.446702370692e-14
0.061,4.442888619122e-14
0.062,4.439035269262e-14
0.063,4.435144206746e-14
0.064,4.430264711465e-14
0.065,4.423567013087e-14
0.066,4.416972718884e-14
0.067,4.410355836387e-14
0.068,4.403704812092e-14
0.069,4.397021130424e-14
0.07,4.390306190985e-14
0.071,4.383561314527e-14
0.072,4.376787748424e-14
0.073,4.369986671703e-14
0.074,4.363239530713e-14
0.075,4.356487601694e-14
0.076,4.349708678606e-14
0.077,4.342903813165e-14
0.078,4.336074003155e-14
0.079,4.329220195838e-14
0.08,4.322917229517e-14
0.081,4.317265503849e-14
0.082,4.311609126126e-14
0.083,4.306016803894e-14
0.084,4.300402149271e-14
0.085,4.294765950459e-14
0.086,4.289108959000e-14
0.087,4.283431891882e-14
0.088,4.277735433501e-14
0.089,4.272020237497e-14
0.1,4.222597379040e-14
0.11,4.194658725692e-14
0.13,4.177853664633e-14
0.14,4.128709985914e-14
0.15,4.097721859842e-14
0.16,4.070456417840e-14
0.17,4.005695775550e-14
0.18,3.962664881692e-14
0.2,3.937611489802e-14
0.21,3.929254194178e-14
0.23,3.883157777666e-14
0.24,3.863248923214e-14
0.26,3.864841689452e-14
0.27,3.867770660669e-14
0.28,3.853663915631e-14
0.29,3.834407971205e-14
0.3,3.807772551514e-14
0.4,3.651135589813e-14
0.5,3.557646857974e-14
0.6,3.496289036172e-14
0.7,3.418515932528e-14
0.8,3.398980612020e-14
0.9,3.331669246775e-14
1,3.232870577780e-14
1.1,3.163764321594e-14
1.3,3.108748170188e-14
1.5,3.021188184668e-14
1.75,2.899677649522e-14
2,2.833046778994e-14
2.25,2.822739599907e-14
2.5,2.808137647402e-14
2.75,2.776702905985e-14
3,2.716037281974e-14
3.25,2.656270807174e-14
3.5,2.592638971869e-14
3.75,2.539199279082e-14
4,2.498246425072e-14
4.25,2.468591267370e-14
4.5,2.447177287135e-14
4.75,2.442537160668e-14
