#1.0eV differential cross sections for D-O elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
1.64276,9.95483E-14
2.11213,9.77416E-14
2.81617,9.47606E-14
2.81617,9.19603E-14
2.58149,8.87986E-14
2.58149,8.59079E-14
2.81617,8.31075E-14
3.28553,8.00361E-14
3.75489,7.73261E-14
4.69361,7.57001E-14
5.63233,7.45257E-14
5.86701,7.26287E-14
6.10169,7.0009E-14
7.2751,7.09124E-14
8.68318,6.9196E-14
9.38722,6.68473E-14
10.56063,6.3776E-14
11.02999,6.09756E-14
12.90743,6.00723E-14
13.14211,5.79946E-14
13.61147,5.62782E-14
15.95828,5.57362E-14
16.62973,5.4198E-14
18.91134,5.53899E-14
19.72621,5.43235E-14
19.72621,5.32571E-14
20.21512,5.21279E-14
20.05215,5.11242E-14
20.86701,5.03086E-14
20.86701,4.91167E-14
22.98566,4.97441E-14
23.3116,4.85521E-14
24.12647,4.77366E-14
24.77836,4.72348E-14
25.26728,4.62311E-14
26.24511,4.52901E-14
27.54889,4.6482E-14
27.87484,4.75484E-14
29.50456,4.70466E-14
29.50456,4.63565E-14
29.34159,4.50391E-14
30.31943,4.32199E-14
30.64537,4.48509E-14
32.2751,4.59801E-14
32.2751,4.50391E-14
32.92699,4.41609E-14
33.08996,4.24671E-14
33.25293,4.12125E-14
36.02347,3.97069E-14
38.46806,4.09616E-14
39.77184,4.25299E-14
41.40156,4.33454E-14
41.89048,4.24044E-14
40.5867,4.12752E-14
39.93481,4.00206E-14
39.11995,3.9456E-14
40.74967,3.83268E-14
42.05346,3.76368E-14
43.03129,4.07106E-14
44.66102,3.91423E-14
43.84615,3.7825E-14
43.03129,3.70094E-14
45.63885,3.76995E-14
46.29074,3.70722E-14
46.12777,3.55039E-14
48.08344,3.51902E-14
50.20209,3.46256E-14
50.20209,3.5943E-14
50.691,3.68212E-14
52.80965,3.62567E-14
52.32073,3.45629E-14
52.4837,3.34964E-14
54.2764,3.4312E-14
54.11343,3.29318E-14
54.43937,3.61939E-14
55.09126,3.70094E-14
56.55802,3.50647E-14
56.72099,3.41865E-14
57.37288,3.26809E-14
58.35072,3.63821E-14
59.32855,3.79504E-14
59.49153,3.6633E-14
59.6545,3.57548E-14
60.30639,3.45002E-14
60.30639,3.34337E-14
60.30639,3.23673E-14
60.46936,3.12381E-14
62.09909,3.19909E-14
63.89179,3.18027E-14
66.98827,3.02344E-14
67.64016,3.10499E-14
67.9661,3.29318E-14
69.26988,3.19281E-14
70.24772,2.9858E-14
72.20339,3.0548E-14
72.69231,3.13008E-14
72.85528,3.28064E-14
72.85528,3.36219E-14
73.83312,3.51275E-14
74.48501,3.39983E-14
74.48501,3.30573E-14
75.78879,3.16772E-14
75.46284,3.02344E-14
75.29987,2.88543E-14
75.78879,2.7976E-14
76.11473,3.28064E-14
77.90743,3.243E-14
77.90743,3.0548E-14
78.39635,2.91679E-14
79.37419,2.73487E-14
80.67797,2.85406E-14
80.84094,2.74742E-14
82.30769,3.00462E-14
83.61147,3.16772E-14
83.77445,2.82897E-14
83.77445,2.73487E-14
84.91525,2.58431E-14
86.87093,2.68468E-14
86.87093,2.81642E-14
88.33768,2.9607E-14
89.64146,2.75996E-14
89.80443,2.53413E-14
90.78227,2.85406E-14
90.6193,2.94816E-14
91.10821,3.06735E-14
91.59713,3.16145E-14
92.41199,3.0548E-14
92.73794,2.94189E-14
93.06389,2.83524E-14
93.71578,2.74742E-14
94.53064,2.62822E-14
95.67145,2.68468E-14
95.67145,2.79133E-14
95.99739,3.12381E-14
96.97523,3.25555E-14
97.79009,3.09872E-14
97.79009,2.99207E-14
97.62712,2.91052E-14
98.11604,2.78505E-14
98.27901,2.67214E-14
98.60495,2.52785E-14
98.60495,2.42748E-14
99.58279,2.72232E-14
100.07171,2.84779E-14
101.04954,2.74114E-14
103.00522,2.67841E-14
103.16819,2.47767E-14
104.14602,2.61568E-14
104.79791,2.57177E-14
104.14602,2.39612E-14
103.98305,2.31456E-14
104.47197,2.71605E-14
105.12386,2.82269E-14
105.93872,2.74742E-14
106.26467,2.6345E-14
107.07953,2.49649E-14
107.07953,2.33338E-14
109.0352,2.26438E-14
109.68709,2.38357E-14
110.17601,2.5404E-14
110.33898,2.61568E-14
110.50196,2.75996E-14
110.66493,2.83524E-14
111.80574,2.85406E-14
111.47979,2.91679E-14
111.96871,2.74114E-14
112.13168,2.64704E-14
113.27249,2.22047E-14
112.78357,2.43375E-14
113.59844,2.42748E-14
114.4133,2.52785E-14
116.69492,2.6345E-14
117.67275,2.7035E-14
117.18383,2.85406E-14
117.83572,2.48394E-14
117.83572,2.38984E-14
118.16167,2.27065E-14
118.32464,2.1891E-14
119.1395,2.69723E-14
119.1395,2.75996E-14
118.81356,2.86033E-14
119.30248,2.95443E-14
119.95437,3.06735E-14
121.25815,2.55295E-14
121.42112,2.7035E-14
121.25815,2.82897E-14
124.5176,3.04853E-14
125.65841,3.18027E-14
125.16949,3.21163E-14
124.68057,2.92934E-14
124.5176,2.82269E-14
124.5176,2.71605E-14
124.5176,2.60313E-14
123.70274,2.50903E-14
123.53977,2.42121E-14
123.53977,2.33338E-14
123.21382,2.20165E-14
126.63625,2.32084E-14
125.98435,2.50276E-14
125.98435,2.79133E-14
126.79922,2.15773E-14
127.77705,2.40866E-14
128.59192,2.29574E-14
128.75489,2.17655E-14
129.40678,2.3773E-14
129.40678,2.56549E-14
129.56975,2.67214E-14
129.73272,2.78505E-14
130.38462,2.87915E-14
130.87353,2.97325E-14
130.05867,3.08617E-14
131.03651,2.77878E-14
132.01434,2.67214E-14
131.6884,2.55295E-14
131.6884,2.42748E-14
132.17731,2.32711E-14
132.17731,2.22047E-14
132.34029,2.07618E-14
133.31812,2.32711E-14
133.80704,2.47767E-14
136.57757,2.78505E-14
136.57757,2.69096E-14
135.43677,2.55922E-14
135.92568,2.43375E-14
134.78488,2.08873E-14
135.27379,2.27065E-14
137.06649,2.57177E-14
138.37027,2.48394E-14
137.39244,2.33966E-14
138.2073,2.22674E-14
139.51108,2.59686E-14
140.16297,2.36475E-14
141.14081,2.14519E-14
140.81486,2.28947E-14
141.62973,2.70978E-14
142.28162,2.7976E-14
143.09648,2.66586E-14
143.5854,2.53413E-14
143.5854,2.37102E-14
143.42243,2.18283E-14
147.00782,2.13264E-14
146.19296,2.33338E-14
146.35593,2.45885E-14
145.70404,2.55295E-14
145.54107,2.69096E-14
145.21512,2.7976E-14
144.88918,2.89797E-14
144.88918,3.00462E-14
147.00782,2.77878E-14
147.00782,2.68468E-14
148.14863,2.84151E-14
148.14863,2.6345E-14
148.3116,1.97581E-14
149.28944,2.06991E-14
