#10.0eV differential cross sections for O-D elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
0.93506,9.96396E-14
1.4026,9.82883E-14
1.63636,9.65766E-14
1.87013,9.51351E-14
1.87013,9.36937E-14
2.1039,9.12613E-14
2.1039,8.92793E-14
2.57143,8.73874E-14
2.57143,8.54054E-14
3.50649,8.37838E-14
3.74026,8.26126E-14
3.97403,8.05405E-14
3.97403,7.88288E-14
4.44156,7.76577E-14
4.67532,7.59459E-14
4.90909,7.51351E-14
5.61039,7.34234E-14
5.84416,7.1982E-14
6.07792,7.01802E-14
6.54545,6.89189E-14
6.77922,6.75676E-14
8.18182,6.71171E-14
8.18182,6.51351E-14
9.35065,6.36036E-14
9.35065,6.15315E-14
10.05195,6.01802E-14
10.75325,5.90991E-14
11.22078,5.73874E-14
12.38961,6.03604E-14
12.62338,5.82883E-14
13.09091,5.72072E-14
13.79221,5.54054E-14
14.49351,5.40541E-14
14.25974,5.28829E-14
15.42857,5.11712E-14
16.5974,5.4955E-14
16.83117,5.34234E-14
18.23377,5.1982E-14
17.76623,5.03604E-14
18.7013,4.84685E-14
19.4026,4.7027E-14
20.57143,4.56757E-14
21.50649,4.71171E-14
21.50649,4.89189E-14
22.44156,5.10811E-14
23.61039,4.86486E-14
24.54545,4.73874E-14
23.61039,4.63063E-14
24.77922,4.32432E-14
26.18182,4.22523E-14
27.11688,4.0991E-14
26.18182,4.52252E-14
27.81818,4.35135E-14
28.75325,4.64865E-14
29.45455,4.53153E-14
29.45455,4.36937E-14
30.85714,4.7027E-14
30.85714,4.79279E-14
32.49351,4.63964E-14
32.49351,4.48649E-14
31.79221,4.42342E-14
31.79221,4.2973E-14
33.8961,4.27928E-14
33.8961,4.15315E-14
33.8961,4E-14
35.06494,3.90991E-14
35.76623,3.65766E-14
36.7013,3.53153E-14
37.4026,3.37838E-14
38.1039,3.26126E-14
39.03896,3.14414E-14
38.80519,3.01802E-14
41.14286,2.96396E-14
40.90909,2.87387E-14
42.07792,2.81081E-14
43.71429,2.83784E-14
44.41558,2.72973E-14
45.81818,2.72072E-14
46.75325,2.62162E-14
49.09091,2.5045E-14
51.42857,2.41441E-14
54,2.34234E-14
56.57143,2.24324E-14
58.90909,2.15315E-14
61.48052,2.08108E-14
64.05195,1.99099E-14
67.55844,1.87387E-14
69.8961,1.78378E-14
72.93506,1.66667E-14
75.27273,1.58559E-14
79.24675,1.46847E-14
81.81818,1.32432E-14
85.55844,1.23423E-14
89.53247,1.13514E-14
92.57143,1.03604E-14
96.07792,9.45946E-15
101.22078,8.46847E-15
107.2987,7.11712E-15
112.20779,6.3964E-15
118.98701,5.58559E-15
125.06494,4.86487E-15
133.48052,3.96396E-15
141.66234,3.15315E-15
149.14286,2.97297E-15
158.02597,2.61261E-15
164.33766,2.61261E-15
171.11688,2.43243E-15
176.72727,2.25225E-15

