#D-O total collision cross sections from Zhang et al. 2009
#Energy(eV),sigma(cm^2)
0.03286,7.88287E-15
0.06757,6.90433E-15
0.05214,7.64791E-15
0.05214,7.39559E-15
0.07915,6.60843E-15
0.13894,6.28479E-15
0.22022,5.93064E-15
0.28359,5.60095E-15
0.47647,5.35612E-15
0.71178,5.19704E-15
0.91794,5.0905E-15
1.15153,4.89159E-15
1.37141,4.88328E-15
1.57585,4.73956E-15
1.80516,4.77235E-15
2.03018,4.60657E-15
2.25333,4.66112E-15
2.46549,4.59255E-15
2.68489,4.4705E-15
2.90669,4.51393E-15
3.1285,4.52261E-15
3.34789,4.41428E-15
3.55282,4.34982E-15
3.76498,4.37176E-15
3.99643,4.40056E-15
4.2086,4.36902E-15
4.42076,4.29085E-15
4.65221,4.22914E-15
4.86437,4.22777E-15
5.09582,4.25794E-15
5.31763,4.26891E-15
5.53943,4.24697E-15
5.77088,4.19212E-15
5.98304,4.14001E-15
6.20485,4.10313E-15
6.42666,4.09475E-15
6.65811,4.11258E-15
6.88956,4.13178E-15
7.11136,4.13726E-15
7.33317,4.12218E-15
7.55497,4.09582E-15
7.77678,4.05498E-15
7.99859,4.01658E-15
8.22039,3.98641E-15
8.45184,3.96584E-15
8.67365,3.96173E-15
8.89546,3.97133E-15
9.1269,3.98367E-15
9.34871,3.9922E-15
9.57052,3.99464E-15
9.80197,3.99464E-15
9.95627,3.98367E-15
0.38317,5.29915E-15
0.40571,5.16239E-15
0.46582,5.55556E-15
0.56349,5.16239E-15
0.60105,5.01709E-15
0.69121,5.32479E-15
0.8565,4.96581E-15
0.92412,5.25641E-15
0.99174,5.10256E-15
1.07438,4.90598E-15
1.66041,4.80342E-15
1.92337,4.64957E-15

