#0.1eV differential cross sections for O-H elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
0.25,1.9E-13
0.35,1.8E-13
0.5,1.7E-13
0.7,1.6E-13
0.9,1.5E-13
1.15,1.4E-13
1.45,1.25E-13
1.8,1.08863012054121E-13
2.2,9.51698160061225E-14
2.3,9.21701440004373E-14
3.05,7.42385977367774E-14
3.55,6.09972414760148E-14
4.1,4.93042228372284E-14
4.7,3.91992414514145E-14
5.5,2.88740710425977E-14
6.5,1.95168565413472E-14
7.5,1.26609127465049E-14
8.5,7.47079465786561E-15
9.5,4.17853576401132E-15
10.5,1.745187E-15
11.5,8.77511299999999E-16
12.5,8.079655E-16
13.5,1.19489718327183E-15
14.5,1.68094768082664E-15
15.5,1.90365275522755E-15
16.5,1.84092439114391E-15
17.5,1.56536792537925E-15
18.5,1.21595544895449E-15
19.5,8.90454007380073E-16
20.5,7.2424055801558E-16
21.5,6.50006E-16
22.5,6.67281689626896E-16
23.5,7.14730477452856E-16
24.5,7.71322911923897E-16
25.5,8.08343228782288E-16
26.5,8.30650543665437E-16
27.5,8.37372549815498E-16
28.5,8.13919478517547E-16
29.5,7.72289003690037E-16
30.5,6.86990893808938E-16
31.5,5.93805858138582E-16
32.5,5.04604280677781E-16
33.5,4.34866236162362E-16
34.5,4.076733E-16
35.5,4.22111575926533E-16
36.5,4.6840110701107E-16
37.5,5.39973627716277E-16
38.5,5.9399573189396E-16
39.5,6.11036590405904E-16
40.5,5.83888120131201E-16
41.5,5.11528335155823E-16
42.5,4.17120675686756E-16
43.5,3.32648376793768E-16
44.5,2.69379653956539E-16
45.5,2.53822969826173E-16
46.5,2.74783626076261E-16
47.5,3.138367699877E-16
48.5,3.56930907339073E-16
49.5,3.83385905289053E-16
50.5,3.88424001913091E-16
51.5,3.71192511341897E-16
52.5,3.29710725811741E-16
53.5,2.90097026240262E-16
54.5,2.48254851558228E-16
55.5,2.14499313653136E-16
56.5,1.96754272712365E-16
57.5,1.90820730075435E-16
58.5,1.93989527063969E-16
59.5,2.04243889708897E-16
60.5,2.15806728763529E-16
61.5,2.24810209775299E-16
62.5,2.30630590815908E-16
63.5,2.34288915800984E-16
64.5,2.33323767527675E-16
65.5,2.27016725092251E-16
66.5,2.15529781567727E-16
67.5,1.99043119074955E-16
68.5,1.800613E-16
