#10eV differential cross sections for O-H elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
0.25,2.75E-13
0.35,2.5E-13
0.5,2.25E-13
0.7,2E-13
0.9,1.75E-13
1.15,1.5E-13
1.45,1.25E-13
1.8,9.678847129666E-14
2.2,7.77627937407213E-14
2.3,7.30063743517366E-14
3.05,3.73332289343515E-14
3.55,2.55946530254538E-14
4.1,2.18518926491157E-14
4.7,1.77688813294741E-14
5.5,1.23248662366186E-14
6.5,5.51984737054926E-15
7.5,4.29184181427453E-15
8.5,3.84792764766974E-15
9.5,3.16392304746231E-15
10.5,1.90040075965379E-15
11.5,1.53417572636485E-15
12.5,1.75837150389455E-15
13.5,1.48236301065246E-15
14.5,1.4050881386803E-15
15.5,8.72215402037145E-16
16.5,7.42894181954362E-16
17.5,6.41295839716383E-16
18.5,7.78907527240774E-16
19.5,6.51211394141146E-16
20.5,8.27345833433193E-16
21.5,6.79856663027559E-16
22.5,5.36646298412064E-16
23.5,4.10703381266227E-16
24.5,3.62503365553603E-16
25.5,3.8370981645696E-16
26.5,4.26123437387657E-16
27.5,4.06522093378608E-16
28.5,4.91005942084941E-16
29.5,4.73897527922026E-16
30.5,4.15259738845616E-16
31.5,4.55992313241462E-16
32.5,4.96724887637308E-16
33.5,2.96640197323747E-16
34.5,2.37477920611145E-16
35.5,1.85760824545637E-16
36.5,2.36478939362467E-16
37.5,1.31177066629384E-16
38.5,1.61762670208516E-16
39.5,1.00373668963451E-16
40.5,1.03235735769922E-16
41.5,1.10132080886759E-16
42.5,8.72802690832835E-17
43.5,8.39761605052926E-17
44.5,7.96060988416989E-17
45.5,7.34487321749551E-17
46.5,7.20585451035218E-17
47.5,6.75463802508588E-17
48.5,6.4617781305638E-17
49.5,6.25220839762611E-17
50.5,5.99437617974323E-17
51.5,5.74163823955718E-17
52.5,5.52870169538918E-17
53.5,5.32162543825611E-17
54.5,5.12243575553527E-17
55.5,4.94934452553495E-17
56.5,4.78888232867332E-17
57.5,4.61413115156357E-17
58.5,4.44355920711005E-17
59.5,4.29953084681446E-17
60.5,4.15384800730427E-17
61.5,3.99986489842502E-17
62.5,3.85827227161198E-17
63.5,3.73423232867333E-17
64.5,3.60226297306551E-17
65.5,3.46623238644145E-17
66.5,3.35264386908328E-17
67.5,3.2413047438586E-17
68.5,3.13796492581602E-17
69.5,3.03393146770144E-17
70.5,2.92151421136727E-17
71.5,2.81728791541841E-17
72.5,2.72528172408628E-17
73.5,2.63074260770328E-17
74.5,2.5323802681883E-17
75.5,2.44554646826784E-17
76.5,2.36503016527688E-17
77.5,2.28862687874465E-17
78.5,2.21450419686163E-17
79.5,2.13399310431408E-17
80.5,2.0547419912123E-17
81.5,1.98821013580987E-17
82.5,1.9223933006163E-17
83.5,1.86113445560374E-17
84.5,1.80395274815259E-17
85.5,1.75333361493909E-17
86.5,1.70118519059575E-17
87.5,1.64654583884958E-17
88.5,1.59786781306171E-17
89.5,1.552721018574E-17
90.5,1.50914440383463E-17
91.5,1.46650909326942E-17
92.5,1.42813111313302E-17
93.5,1.39233598641871E-17
94.5,1.35800317555422E-17
95.5,1.32616774515678E-17
96.5,1.29271098961454E-17
97.5,1.25645175254643E-17
98.5,1.22410950059928E-17
99.5,1.19862008789453E-17
100.5,1.17379318544809E-17
101.5,1.1542723336291E-17
102.5,1.13475148181012E-17
103.5,1.11191388371061E-17
104.5,1.08852284953395E-17
105.5,1.0684319662672E-17
106.5,1.05050475810031E-17
107.5,1.03281435419441E-17
108.5,1.01556180204172E-17
109.5,9.98372321349312E-18
110.5,9.81763355525965E-18
111.5,9.65154389702619E-18
112.5,9.49070501553484E-18
113.5,9.3308292942743E-18
114.5,9.17449558810475E-18
115.5,9.02060300044385E-18
116.5,8.88483243210863E-18
117.5,8.78439712859425E-18
118.5,8.68396182507987E-18
119.5,8.57680750998669E-18
120.5,8.46832548601864E-18
121.5,8.36775394326808E-18
122.5,8.27286381142629E-18
123.5,8.17738003549246E-18
124.5,8.07497542147294E-18
125.5,7.97257080745342E-18
126.5,7.88071642029565E-18
127.5,7.79109996004794E-18
128.5,7.70947217043941E-18
129.5,7.64466524633822E-18
130.5,7.57843661741214E-18
131.5,7.49302527555911E-18
132.5,7.40761393370607E-18
133.5,7.3390362485018E-18
134.5,7.28341898921294E-18
135.5,7.22749119840213E-18
136.5,7.16686536617843E-18
137.5,7.10623953395473E-18
138.5,7.07291004792332E-18
139.5,7.04602506389776E-18
140.5,7.00937031513538E-18
141.5,6.95045331557923E-18
142.5,6.89189467039552E-18
143.5,6.83986910107871E-18
144.5,6.78784353176189E-18
145.5,6.75030639376997E-18
146.5,6.72467140974441E-18
147.5,6.69757712354026E-18
148.5,6.63951320221266E-18
149.5,6.58144928088506E-18
150.5,6.52338535955747E-18
151.5,6.51125E-18
152.5,6.51125E-18
153.5,6.50416615661207E-18
154.5,6.47948377546944E-18
155.5,6.45480139432681E-18
156.5,6.40707901908566E-18
157.5,6.3530088903684E-18
158.5,6.31491575479233E-18
159.5,6.29093412539936E-18
160.5,6.2676E-18
161.5,6.2676E-18
162.5,6.2676E-18
163.5,6.2676E-18
164.5,6.2676E-18
165.5,6.26654913448735E-18
166.5,6.21400585885486E-18
167.5,6.16146258322237E-18
168.5,6.16727192568917E-18
169.5,6.19080768278066E-18
170.5,6.20191904153355E-18
171.5,6.17839268370607E-18
172.5,6.15486632587859E-18
173.5,6.13150286056732E-18
174.5,6.108190834998E-18
175.5,6.09087E-18
176.5,6.09087E-18
177.5,6.0909E-18
178.5,6.0909E-18
179.5,6.0909E-18
