#angle(deg),sigma(cm^2)
0.25,1.15E-13
0.35,1E-13
0.5,8.5E-14
0.7,7E-14
0.9,5.5E-14
1.15,4E-14
1.45,2.75E-14
1.8,1.74082878599426E-14
2.2,4.98294119225934E-14
2.3,5.17538365658995E-14
3.05,3.02325018286183E-14
3.55,2.10911511808118E-14
4.1,1.89534320910209E-14
4.7,1.34071950799508E-14
5.5,8.2545760579722E-15
6.5,6.09893136156779E-15
7.5,4.13913831823214E-15
8.5,4.27006799762207E-15
9.5,3.24953528555615E-15
10.5,2.357211E-15
11.5,1.996547E-15
12.5,1.36497E-15
13.5,1.37779499384994E-15
14.5,1.15681631458094E-15
15.5,1.33429231652317E-15
16.5,1.16763856498565E-15
17.5,8.35764421484215E-16
18.5,8.42665801558015E-16
19.5,5.85413771217711E-16
20.5,5.54134560885609E-16
21.5,5.068464E-16
22.5,5.55365919639196E-16
23.5,6.73844298442197E-16
24.5,4.56994081351485E-16
25.5,4.53046811808118E-16
26.5,4.28503264862649E-16
27.5,2.86014711767118E-16
28.5,2.76112278779928E-16
29.5,2.51555850348504E-16
30.5,2.86445724887249E-16
31.5,3.34253117261173E-16
32.5,2.57999532659196E-16
33.5,3.2440798195982E-16
34.5,3.28739200000001E-16
35.5,1.97993102000656E-16
36.5,2.28428840098401E-16
37.5,2.03748587125872E-16
38.5,1.51577139655644E-16
39.5,1.49480487084871E-16
40.5,1.39492518860189E-16
41.5,1.93554880535812E-16
42.5,1.91467994874948E-16
43.5,1.50561093070931E-16
44.5,2.18805417384174E-16
45.5,2.26938203345359E-16
46.5,1.40854986469865E-16
47.5,1.7122467896679E-16
48.5,1.67888936859369E-16
49.5,1.02952550799508E-16
50.5,1.0036513194862E-16
51.5,1.03250229188303E-16
52.5,8.99885856018367E-17
53.5,9.03004290487904E-17
54.5,7.71461582012029E-17
55.5,1.01562757195572E-16
56.5,1.35338937028534E-16
57.5,9.32393229911446E-17
58.5,1.17174542646254E-16
59.5,1.70930415334153E-16
60.5,1.25209698097737E-16
61.5,1.11116065934066E-16
62.5,1.68010076260763E-16
63.5,1.49576825861126E-16
64.5,9.60706900369008E-17
65.5,1.32420153136531E-16
66.5,1.39688410298459E-16
67.5,8.08667448089228E-17
68.5,9.218811E-17
69.5,1.1640279704797E-16
70.5,7.7766813744465E-17
71.5,5.57293219762197E-17
72.5,8.19503561705617E-17
73.5,6.77106413694141E-17
74.5,4.05837573537452E-17
75.5,5.51925859778597E-17
76.5,6.01978499999994E-17
77.5,3.67255697416976E-17
78.5,3.91154300355286E-17
79.5,4.59727E-17
80.5,3.55475281672813E-17
81.5,2.9894066502665E-17
82.5,3.68747238316479E-17
83.5,3.3461586592866E-17
84.5,2.80869935501503E-17
85.5,2.94566617907511E-17
86.5,3.22354E-17
87.5,2.72584264862649E-17
88.5,2.63532E-17
89.5,2.81704045100451E-17
90.5,2.65761297252972E-17
91.5,2.46415E-17
92.5,2.51445420869209E-17
93.5,2.55656962894629E-17
94.5,2.37261796637966E-17
95.5,2.33161088560886E-17
96.5,2.38577103457701E-17
97.5,2.31768169718502E-17
98.5,2.23540836804986E-17
99.5,2.21947406362742E-17
100.5,2.18736590163934E-17
101.5,2.12841167487685E-17
102.5,2.0996645E-17
103.5,2.08236122131147E-17
104.5,2.04033163934426E-17
105.5,1.99744721311475E-17
106.5,1.97028198770492E-17
107.5,1.943515E-17
108.5,1.9143965633546E-17
109.5,1.88506201458523E-17
110.5,1.85621870769231E-17
111.5,1.82779322014051E-17
112.5,1.79985E-17
113.5,1.77227864476386E-17
114.5,1.74675805327869E-17
115.5,1.72268847775176E-17
116.5,1.6989521025641E-17
117.5,1.67553055555556E-17
118.5,1.6524258490566E-17
119.5,1.62960386382281E-17
120.5,1.60837521311475E-17
121.5,1.58937367213115E-17
122.5,1.57061875E-17
123.5,1.55208791324736E-17
124.5,1.53376035128806E-17
125.5,1.51565184426229E-17
126.5,1.4977518852459E-17
127.5,1.484105E-17
128.5,1.47094643610785E-17
129.5,1.45790057377049E-17
130.5,1.44498100702576E-17
131.5,1.43215470491803E-17
132.5,1.419465E-17
133.5,1.40581745603751E-17
134.5,1.39100796721311E-17
135.5,1.37634596171376E-17
136.5,1.36184277119417E-17
137.5,1.34750375E-17
138.5,1.3333138974359E-17
139.5,1.31980721311475E-17
140.5,1.31088537704918E-17
141.5,1.30202772073922E-17
142.5,1.293225E-17
143.5,1.28448512315271E-17
144.5,1.2758006010929E-17
145.5,1.26718291803279E-17
146.5,1.25855469262295E-17
147.5,1.24843666666667E-17
148.5,1.23841E-17
149.5,1.2284537704918E-17
150.5,1.2185837704918E-17
151.5,1.21000342465753E-17
152.5,1.20457214285714E-17
153.5,1.1991769057377E-17
154.5,1.19379055327869E-17
155.5,1.18843655334115E-17
156.5,1.1831537295082E-17
157.5,1.1779E-17
158.5,1.17267258196721E-17
159.5,1.1674556284153E-17
160.5,1.16227028688525E-17
161.5,1.15709969262295E-17
162.5,1.15290125E-17
163.5,1.14948890410959E-17
164.5,1.14607581967213E-17
165.5,1.14267601092896E-17
166.5,1.13929504918033E-17
167.5,1.135915E-17
168.5,1.13269368852459E-17
169.5,1.13104967213115E-17
170.5,1.12940032786885E-17
171.5,1.1277493442623E-17
172.5,1.12611E-17
173.5,1.1244702739726E-17
174.5,1.1228393442623E-17
175.5,1.12202E-17
176.5,1.12202E-17
177.5,1.12202E-17
178.5,1.12202E-17
179.5,1.12202E-17
