# O-N2 inelastic DCS at energy index 9
# DCS_inelastic = DCS_total - DCS_elastic (clamped >= 0)
# Generated by compute_inelastic_tables_ON2.py
angle_degrees,cross_section_cm2
0.100000,7.6802808751e-11
0.200000,3.1594284799e-11
0.300000,2.3082352816e-11
0.400000,5.6491506094e-12
0.500000,1.0196471953e-11
0.600000,4.7568626227e-12
0.700000,4.0199282130e-12
0.800000,3.3290853366e-12
0.900000,2.7919707584e-12
1.000000,2.3654622460e-12
1.100000,1.8502522788e-12
1.200000,1.5000306045e-12
1.300000,1.0046650093e-12
1.400000,7.9957724038e-13
1.500000,7.1629275836e-13
1.600000,4.5557772809e-13
1.700000,2.5703940256e-13
1.800000,2.0627475895e-13
1.900000,1.8951363777e-13
2.000000,1.5294272541e-13
2.100000,1.0181993904e-13
2.200000,7.2945070915e-14
2.300000,6.6367268769e-14
2.400000,7.1224213016e-14
2.500000,6.5270985523e-14
2.600000,4.5052967452e-14
2.700000,3.5726495923e-14
2.800000,4.1219136316e-14
2.900000,4.4251631071e-14
3.000000,3.6487341585e-14
3.100000,3.0556954184e-14
3.200000,3.4589136897e-14
3.300000,3.8467097638e-14
3.400000,3.3536308630e-14
3.500000,2.2825910673e-14
3.600000,1.5876194209e-14
3.700000,1.9165181847e-14
3.800000,2.8756864300e-14
3.900000,3.3756489014e-14
4.000000,2.6786418969e-14
4.100000,1.5239985974e-14
4.200000,1.0563060426e-14
4.300000,1.4510958430e-14
4.400000,1.9158899583e-14
4.500000,1.9541434082e-14
4.600000,1.6618186888e-14
4.700000,1.3476685786e-14
4.800000,1.2378101474e-14
4.900000,1.1639861288e-14
5.000000,1.1253987559e-14
5.100000,1.1032507771e-14
5.200000,1.1714037061e-14
5.300000,1.2712843592e-14
5.400000,1.2771966652e-14
5.500000,1.1078785107e-14
5.600000,8.8659205872e-15
5.700000,7.5611592365e-15
5.800000,7.2903132619e-15
5.900000,8.1444499455e-15
6.000000,8.8166327763e-15
6.100000,9.0593977123e-15
6.200000,8.0499580629e-15
6.300000,5.7621417970e-15
6.400000,3.7995029347e-15
6.500000,3.3556513533e-15
6.600000,4.8303591593e-15
6.700000,6.8048447289e-15
6.800000,7.1685703245e-15
6.900000,5.4658276821e-15
7.000000,3.0361715307e-15
7.100000,2.0355228168e-15
7.200000,3.2167455622e-15
7.300000,5.2293488591e-15
7.400000,6.0550623325e-15
7.500000,5.0413086903e-15
7.600000,3.2562190329e-15
7.700000,2.2593324281e-15
7.800000,2.5600909546e-15
7.900000,3.4124988011e-15
8.000000,3.8361502029e-15
8.100000,3.4721565622e-15
8.200000,2.8518332041e-15
8.300000,2.2779277222e-15
8.400000,2.0713291881e-15
8.500000,1.9359088356e-15
8.600000,1.9285694858e-15
8.700000,2.1258430735e-15
8.800000,2.3514575695e-15
8.900000,2.4621127435e-15
9.000000,2.1412886723e-15
9.100000,1.6237572374e-15
9.200000,1.3339570920e-15
9.300000,1.5819221391e-15
9.400000,2.1315584364e-15
9.500000,2.5560469306e-15
9.600000,2.3547021930e-15
9.700000,1.8093747984e-15
9.800000,1.3127830291e-15
9.900000,1.3046321505e-15
10.000000,1.7204535990e-15
10.100000,2.0799671177e-15
10.200000,2.1034314296e-15
10.300000,1.6924380938e-15
10.400000,1.2678436764e-15
10.500000,1.0518060580e-15
10.600000,1.1760897690e-15
10.700000,1.3862296337e-15
10.800000,1.4758370579e-15
10.900000,1.3723223930e-15
11.000000,1.1690764801e-15
11.100000,1.0088296086e-15
11.200000,9.5646883960e-16
11.300000,9.5652137432e-16
11.400000,9.9019449521e-16
11.500000,1.0365973106e-15
11.600000,1.0783717329e-15
11.700000,1.1224313856e-15
11.800000,1.0670517267e-15
11.900000,9.5280371406e-16
12.000000,8.3410775823e-16
12.100000,8.1736299550e-16
12.200000,9.4036043294e-16
12.300000,1.1108003583e-15
12.400000,1.1692493951e-15
12.500000,1.0827070937e-15
12.600000,8.8105781308e-16
12.700000,7.5109362322e-16
12.800000,7.7024634101e-16
12.900000,9.0302189093e-16
13.000000,1.0176275404e-15
13.100000,1.0197902285e-15
13.200000,8.9055871696e-16
13.300000,7.6807938568e-16
13.400000,7.0579966422e-16
13.500000,7.2657442967e-16
13.600000,8.0433946080e-16
13.700000,8.0247830497e-16
13.800000,8.2692636751e-16
13.900000,7.8165479382e-16
14.000000,8.0144873890e-16
14.100000,8.0109629448e-16
14.200000,7.8292000016e-16
14.300000,7.6852910405e-16
14.400000,7.4120280943e-16
14.500000,7.9888588891e-16
14.600000,8.6647485289e-16
14.700000,9.3199873502e-16
14.800000,9.1623807074e-16
14.900000,8.3202169172e-16
15.000000,7.3634619488e-16
15.100000,7.0973434582e-16
15.200000,7.4465509442e-16
15.300000,8.3101397397e-16
15.400000,8.4046653149e-16
15.500000,7.8712712434e-16
15.600000,6.6241509008e-16
15.700000,5.5258870847e-16
15.800000,5.2237204371e-16
15.900000,5.3282139355e-16
16.000000,5.8295420599e-16
16.100000,5.6871714526e-16
16.200000,5.2247481778e-16
16.300000,4.4345436060e-16
16.400000,3.9465646993e-16
16.500000,3.9031235860e-16
16.600000,4.1740956645e-16
16.700000,4.4620608463e-16
16.800000,4.5387669815e-16
16.900000,4.4462454532e-16
17.000000,4.4500013155e-16
17.100000,4.5982180600e-16
17.200000,4.9985070250e-16
17.300000,5.2764405678e-16
17.400000,5.4136185579e-16
17.500000,5.4192065837e-16
17.600000,5.3778017494e-16
17.700000,5.7505940861e-16
17.800000,6.0953645677e-16
17.900000,6.5999719608e-16
18.000000,6.6232100926e-16
18.100000,6.3415872310e-16
18.200000,5.9435812291e-16
18.300000,5.6853844792e-16
18.400000,5.9064832003e-16
18.500000,6.2751649010e-16
18.600000,6.5151549780e-16
18.700000,6.2740605917e-16
18.800000,5.6150130377e-16
18.900000,4.8839112119e-16
19.000000,4.5346146111e-16
19.100000,4.6179588170e-16
19.200000,4.9188366874e-16
19.300000,5.0157202032e-16
19.400000,4.5902464727e-16
19.500000,3.9095803798e-16
19.600000,3.2538754917e-16
19.700000,3.0193107328e-16
19.800000,3.2747953666e-16
19.900000,3.5417067184e-16
20.000000,3.6960218646e-16
20.100000,3.3631187185e-16
20.200000,2.9200830180e-16
20.300000,2.6325697590e-16
20.400000,2.7048445404e-16
20.500000,3.1339695511e-16
20.600000,3.5787571130e-16
20.700000,3.8011608050e-16
20.800000,3.7733804615e-16
20.900000,3.6238019615e-16
