# Total energy eV; state-to-state integral cross sections in cm^2.
# Kumar et al. (2023), doi:10.1093/mnras/stad3149, Table 4. 16O + 14N2.
total_energy_eV,ji,jf,sigma_cm2
0.75,0,0,2.161920000000e-14
0.75,0,2,5.412700000000e-15
0.75,0,4,1.965800000000e-15
0.75,0,6,2.608900000000e-15
0.75,0,8,8.124000000000e-16
0.75,0,10,8.478000000000e-16
0.75,0,12,4.378000000000e-16
0.75,0,14,2.101000000000e-16
0.75,0,16,1.696000000000e-16
0.75,0,18,1.579000000000e-16
0.75,0,20,1.459000000000e-16
0.75,0,22,1.448000000000e-16
0.75,0,24,1.162000000000e-16
0.75,0,26,1.037000000000e-16
0.75,0,28,1.071000000000e-16
0.75,0,30,7.090000000000e-17
1.5,0,0,1.853580000000e-14
1.5,0,2,4.285800000000e-15
1.5,0,4,4.689200000000e-15
1.5,0,6,1.392900000000e-15
1.5,0,8,6.833000000000e-16
1.5,0,10,6.004000000000e-16
1.5,0,12,2.859000000000e-16
1.5,0,14,2.406000000000e-16
1.5,0,16,1.561000000000e-16
1.5,0,18,1.402000000000e-16
1.5,0,20,1.199000000000e-16
1.5,0,22,1.242000000000e-16
1.5,0,24,7.330000000000e-17
1.5,0,26,8.330000000000e-17
1.5,0,28,5.260000000000e-17
1.5,0,30,8.550000000000e-17
2.25,0,0,1.668690000000e-14
2.25,0,2,3.647500000000e-15
2.25,0,4,5.671400000000e-15
2.25,0,6,1.137300000000e-15
2.25,0,8,5.875000000000e-16
2.25,0,10,6.452000000000e-16
2.25,0,12,2.551000000000e-16
2.25,0,14,2.289000000000e-16
2.25,0,16,1.547000000000e-16
2.25,0,18,1.117000000000e-16
2.25,0,20,9.490000000000e-17
2.25,0,22,8.100000000000e-17
2.25,0,24,7.540000000000e-17
2.25,0,26,5.680000000000e-17
2.25,0,28,5.410000000000e-17
2.25,0,30,6.570000000000e-17
3.25,0,0,1.487510000000e-14
3.25,0,2,3.048900000000e-15
3.25,0,4,5.645100000000e-15
3.25,0,6,1.754900000000e-15
3.25,0,8,4.652000000000e-16
3.25,0,10,4.981000000000e-16
3.25,0,12,2.765000000000e-16
3.25,0,14,1.947000000000e-16
3.25,0,16,1.394000000000e-16
3.25,0,18,1.010000000000e-16
3.25,0,20,9.440000000000e-17
3.25,0,22,1.037000000000e-16
3.25,0,24,8.450000000000e-17
3.25,0,26,7.170000000000e-17
3.25,0,28,5.370000000000e-17
3.25,0,30,5.880000000000e-17
3.75,0,0,1.417230000000e-14
3.75,0,2,2.797800000000e-15
3.75,0,4,5.576300000000e-15
3.75,0,6,2.005400000000e-15
3.75,0,8,4.146000000000e-16
3.75,0,10,4.415000000000e-16
3.75,0,12,2.696000000000e-16
3.75,0,14,1.818000000000e-16
3.75,0,16,1.289000000000e-16
3.75,0,18,1.124000000000e-16
3.75,0,20,7.340000000000e-17
3.75,0,22,1.082000000000e-16
3.75,0,24,8.290000000000e-17
3.75,0,26,7.920000000000e-17
3.75,0,28,4.450000000000e-17
3.75,0,30,7.940000000000e-17
4,0,0,1.379750000000e-14
4,0,2,2.691700000000e-15
4,0,4,5.471400000000e-15
4,0,6,2.124300000000e-15
4,0,8,4.207000000000e-16
4,0,10,3.868000000000e-16
4,0,12,2.522000000000e-16
4,0,14,1.849000000000e-16
4,0,16,1.273000000000e-16
4,0,18,1.154000000000e-16
4,0,20,7.870000000000e-17
4,0,22,1.176000000000e-16
4,0,24,7.940000000000e-17
4,0,26,8.220000000000e-17
4,0,28,6.100000000000e-17
4,0,30,7.580000000000e-17
