# Diagnostic ji=0 summary; runtime samples rotational_cross_sections.csv directly.
# Elastic cross section comes from the independent integral elastic reference.
# Generated by tools/rebuild_collision_summaries.py
energy_eV,sigma_total_cm2
0.30996048253056,5.010371000040e-14
0.61987560091466,3.746299075634e-14
1.24979318656414,3.204874991886e-14
1.49985100397311,3.154937050286e-14
2.24994115059283,2.955425847778e-14
2.74976816565743,2.829678846679e-14
3.2497598253552,2.746604484238e-14
3.50007376873508,2.709114244766e-14
3.74990191765471,2.656837192706e-14
3.99997803496037,2.606700105201e-14
