# Differential cross section for O-N2 elastic scattering (isotope 16)
# Original energy: 26213 cm⁻¹
# Collision energy: 3.249993 eV
# Column 1: Angle (degrees)
# Column 2: Cross section (cm²)
angle_degrees,cross_section_cm2
0.10000,4.1211369752e-10
0.20000,6.5492299824e-11
0.30000,3.7274609402e-12
0.40000,7.9715107162e-12
0.50000,2.1197220821e-12
0.60000,6.8409534002e-13
0.70000,1.3070677068e-12
0.80000,2.2299552379e-13
0.90000,3.3659716009e-13
1.00000,3.7131034508e-13
1.10000,3.2346558968e-13
1.20000,2.7113078622e-13
1.30000,1.9167258384e-13
1.40000,1.3962558114e-13
1.50000,1.3398427497e-13
1.60000,8.6319033497e-14
1.70000,7.4166202885e-14
1.80000,8.2540950923e-14
1.90000,9.0952029654e-14
2.00000,7.8983416983e-14
2.10000,6.6867980787e-14
2.20000,6.4162884371e-14
2.30000,6.4874778612e-14
2.40000,8.4583172794e-14
2.50000,5.9319266733e-14
2.60000,3.2859188280e-14
2.70000,2.9806698293e-14
2.80000,3.6386662551e-14
2.90000,3.2798903333e-14
3.00000,2.0910035303e-14
3.10000,1.3733391808e-14
3.20000,1.1152064114e-14
3.30000,1.6079858068e-14
3.40000,1.1824825834e-14
3.50000,8.6864982421e-15
3.60000,8.0657133758e-15
3.70000,9.9479983742e-15
3.80000,1.2454584088e-14
3.90000,1.1007679366e-14
4.00000,6.5109575896e-15
4.10000,5.5394329952e-15
4.20000,9.8653067869e-15
4.30000,1.2373464393e-14
4.40000,1.4702633800e-14
4.50000,8.8809286475e-15
4.60000,5.7958327643e-15
4.70000,5.6801628089e-15
4.80000,9.0443340545e-15
4.90000,1.1670847775e-14
5.00000,1.1586920957e-14
5.10000,7.4577516675e-15
5.20000,5.7556239146e-15
5.30000,5.4899653999e-15
5.40000,6.9025632358e-15
5.50000,8.6537760590e-15
5.60000,7.3358994517e-15
5.70000,6.5463444603e-15
5.80000,5.3463277620e-15
5.90000,5.1270466514e-15
6.00000,5.1153115239e-15
6.10000,5.1503639265e-15
6.20000,4.3917103188e-15
6.30000,4.8723240899e-15
6.40000,3.9859228421e-15
6.50000,3.9938498557e-15
6.60000,3.1987747159e-15
6.70000,2.8318867537e-15
6.80000,2.9970326599e-15
6.90000,3.1943324844e-15
7.00000,2.8678433708e-15
7.10000,2.4581148896e-15
7.20000,1.6628406546e-15
7.30000,1.6126279042e-15
7.40000,2.1663529675e-15
7.50000,2.1326641278e-15
7.60000,2.1062234462e-15
7.70000,1.1673428561e-15
7.80000,7.3509624165e-16
7.90000,8.2592325841e-16
8.00000,1.3633529484e-15
8.10000,1.5603481558e-15
8.20000,1.4713436548e-15
8.30000,6.5394530096e-16
8.40000,3.6220554830e-16
8.50000,3.6218299994e-16
8.60000,7.1159635877e-16
8.70000,1.0474880115e-15
