# total elastic cross section for O-N2 (isotope16)
# energy(eV),sigma
0.185000,470.1546
0.198000,457.1361
0.210000,444.3346
0.223000,431.7616
0.235000,420.3956
0.247000,412.3366
0.309000,373.6448
0.323000,367.1699
0.334000,360.5045
0.347000,353.9888
0.359000,347.4409
0.372000,341.0781
0.434000,310.6272
0.500000,284.3417
0.619000,242.4787
0.744000,216.1917
0.868000,203.5556
0.990999,196.454
0.999999,196.0698
1.114999,192.2716
1.249999,189.0507
1.499999,185.3587
1.749999,180.2943
1.999999,174.0194
2.249999,166.8688
2.499999,160.4067
2.749999,155.6501
2.999998,151.8628
3.249998,148.7508
3.499998,145.9778
3.749998,141.7227
3.999998,137.9756
