#3eV differential cross sections for O-O elastic collisions from Kharchenko et al. 2000
#angle(deg),sigma(cm^2)
1,3.75144E-13
2,6.92159E-14
3,3.83307E-14
4,1.71883E-14
5,1.06599E-14
6,6.87529E-15
7,4.91981E-15
8,3.93287E-15
9,3.18808E-15
10,2.66456E-15
11,2.18481E-15
12,1.88015E-15
13,1.628E-15
14,1.45462E-15
15,1.18911E-15
16,8.62171E-16
17,8.82597E-16
18,9.89863E-16
19,8.35633E-16
20,6.99698E-16
21,6.36948E-16
22,5.8947E-16
23,5.64898E-16
24,5.04261E-16
25,4.1958E-16
26,4.08387E-16
27,4.15566E-16
28,3.89874E-16
29,3.63167E-16
30,3.32399E-16
31,3.31904E-16
32,3.7682E-16
33,3.89204E-16
34,3.79898E-16
35,3.17147E-16
36,2.41035E-16
37,2.78455E-16
38,3.01867E-16
39,2.69252E-16
40,2.3752E-16
41,2.07114E-16
42,1.99337E-16
43,2.06645E-16
44,1.91944E-16
45,1.71742E-16
46,1.80678E-16
47,1.83951E-16
48,1.64575E-16
49,1.52585E-16
50,1.51674E-16
51,1.43854E-16
52,1.31427E-16
53,1.3702E-16
54,1.47119E-16
55,1.35515E-16
56,1.26168E-16
57,1.25853E-16
58,1.19656E-16
59,1.04633E-16
60,1.09096E-16
61,1.26548E-16
62,1.29379E-16
63,1.28553E-16
64,1.21103E-16
65,1.13258E-16
66,1.0383E-16
67,9.8671E-17
68,9.9915E-17
69,1.01423E-16
70,1.03107E-16
71,1.04956E-16
72,1.06846E-16
73,1.0146E-16
74,9.52779E-17
75,8.59119E-17
76,7.78789E-17
77,7.18457E-17
78,7.14969E-17
79,7.49379E-17
80,7.49637E-17
81,7.41357E-17
82,7.88409E-17
83,8.08632E-17
84,7.21541E-17
85,6.84818E-17
86,7.23648E-17
87,6.92582E-17
88,6.14918E-17
89,6.42394E-17
90,6.96155E-17
91,6.45705E-17
92,6.16332E-17
93,6.71264E-17
94,6.8052E-17
95,6.21259E-17
96,5.96973E-17
97,5.96003E-17
98,5.70861E-17
99,5.39676E-17
100,5.80208E-17
101,6.14855E-17
102,6.25957E-17
103,6.14528E-17
104,5.69303E-17
105,5.68408E-17
106,5.97066E-17
107,5.41852E-17
108,4.65671E-17
109,5.4508E-17
110,5.97928E-17
111,5.44529E-17
112,5.02266E-17
113,4.76705E-17
114,4.95671E-17
115,5.44323E-17
116,5.14018E-17
117,4.63975E-17
118,4.75763E-17
119,4.89777E-17
120,5.12692E-17
121,5.12192E-17
122,4.7657E-17
123,5.01899E-17
124,5.67861E-17
125,5.67723E-17
126,5.5106E-17
127,5.01138E-17
128,4.65965E-17
129,4.89795E-17
130,5.09188E-17
131,5.21926E-17
132,5.06501E-17
133,4.72301E-17
134,4.57925E-17
135,4.48505E-17
136,4.61948E-17
137,4.75674E-17
138,4.90529E-17
139,4.97742E-17
140,4.93492E-17
141,4.67864E-17
142,4.27985E-17
143,4.38701E-17
144,4.62065E-17
145,5.05854E-17
146,5.32524E-17
147,4.90719E-17
148,4.48617E-17
149,4.06068E-17
150,4.12472E-17
151,4.51512E-17
152,4.83333E-17
153,5.1335E-17
154,4.83631E-17
155,4.50478E-17
156,4.03588E-17
157,3.84545E-17
158,4.07269E-17
159,4.29598E-17
160,4.51664E-17
161,4.52373E-17
162,4.47741E-17
163,4.67579E-17
164,4.83873E-17
165,4.85992E-17
166,4.66698E-17
167,4.15285E-17
168,4.30412E-17
169,4.89899E-17
170,6.3585E-17
171,8.03416E-17
172,8.31892E-17
173,8.15743E-17
174,6.21093E-17
175,5.44606E-17
176,6.45364E-17
177,1.04965E-16
178,1.65628E-16
180,1.687E-16
