Altitude (km) 5 eV HSA,Mean probability 5 eV HSA,5 eV HSA 1,5 eV HSA 2,5 eV HSA 3,5 eV HSA 4,SD HSA,2SD HSA,,Altitude (km) 0.2 eV HSA,Mean probability 0.2 eV HSA,0.2 eV HSA 1,0.2 eV HSA 2,0.2 eV HSA 3,0.2 eV HSA 4
80,0,0,0,0,0,0,0,,80,0,0,0,0,0
100,0,0,0,0,0,0,0,,100,0,0,0,0,0
120,0,0,0,0,0,0,0,,120,0,0,0,0,0
130,0,0,0,0,0,0,0,,130,0,0,0,0,0
135,0,0,0,0,0,,,,135,0,0,0,0,0
137.5,0.0005,0,0.001,0,0.001,,,,137.5,0,0,0,0,0
140,0.002,0.001,0.002,0.001,0.004,0.001414214,0.002828427,,140,0,0,0,0,0
145,0.032,0.036,0.036,0.032,0.024,,,,145,0.00025,0,0,0,0.001
150,0.1185,0.137,0.113,0.106,0.118,0.013279056,0.026558112,,150,0.00075,0.003,0,0,0
155,0.2375,0.243,0.243,0.231,0.233,,,,155,0.0095,0.01,0.009,0.006,0.013
160,0.33675,0.309,0.341,0.358,0.339,0.020369503,0.040739007,,160,0.02275,0.021,0.031,0.02,0.019
165,0.43775,0.435,0.432,0.428,0.456,,,,165,0.04275,0.038,0.049,0.042,0.042
170,0.51625,0.524,0.481,0.539,0.521,0.024784067,0.049568135,,170,0.08325,0.076,0.079,0.092,0.086
175,0.61275,0.614,0.596,0.636,0.605,,,,175,0.1145,0.115,0.113,0.103,0.127
180,0.6525,0.658,0.655,0.632,0.665,0.014294521,0.028589042,,180,0.174,0.191,0.166,0.169,0.17
200,0.7775,0.801,0.766,0.783,0.76,0.018448125,0.036896251,,200,0.37375,0.366,0.369,0.391,0.369
220,0.8245,0.832,0.816,0.831,0.819,0.008185353,0.016370706,,220,0.527,0.499,0.499,0.555,0.555
240,0.855,0.862,0.845,0.856,0.857,0.007164728,0.014329457,,240,0.6235,0.615,0.632,0.618,0.629
260,0.8755,0.878,0.879,0.87,0.875,0.004041452,0.008082904,,260,0.65375,0.643,0.669,0.644,0.659
280,0.87875,0.88,0.879,0.878,0.878,0.000957427,0.001914854,,280,0.71875,0.703,0.714,0.721,0.737
300,0.89525,0.887,0.891,0.903,0.9,0.0075,0.015,,300,0.744,0.744,0.719,0.766,0.747
320,0.91,0.914,0.906,0.914,0.906,0.004618802,0.009237604,,320,0.76625,0.769,0.769,0.781,0.746
340,0.90075,0.914,0.894,0.897,0.898,0.008995369,0.017990738,,340,0.783,0.795,0.767,0.774,0.796
360,0.9015,0.911,0.899,0.88,0.916,0.016010413,0.032020827,,360,0.78725,0.808,0.796,0.799,0.746
380,0.9075,0.92,0.896,0.911,0.903,0.01034408,0.020688161,,380,0.80875,0.796,0.801,0.818,0.82
400,0.9105,0.912,0.901,0.914,0.915,0.006454972,0.012909944,,400,0.81425,0.824,0.822,0.802,0.809
