Reactants,CO2 and O,,LSA:,Altitude LSA,Ti,m/(2*kB*T),CO2 LSA: Fraction above 4991 m/s,integrate (4*pi*(x+5707)^2*(5.867e-8/pi)^(3/2)*exp(-5.867e-8*(x+5707)^2)) from 4991 to infinity,O LSA: Fraction above 4991 m/s,Swap out 5707 for 1958 m/s,integrate (4*pi*(x+1958)^2*(2.178e-8/pi)^(3/2)*exp(-2.178e-8*(x+1958)^2)) from 4991 to infinity,H LSA: Fraction above 4991 m/s,kT,"H LSA using E: Fraction above 0.13 eV (the same when 0.1298 eV is used, which is the same as 4991 m/s)",O LSA using E: Fraction above 0.13 eV,integrate (2*sqrt((x+3.04414E-21)/pi)*(1/3.054E-20)^(3/2)*exp(-(x+3.04414E-21)/3.054E-20)) from 2.08283e-20 to infinity,HSA:,Altitude HSA,Ti(K),m/(2*kB*T),CO2 HSA: Fraction above 4991 m/s,,O HSA: Fraction above 4991 m/s; 0 if less than 1e-6,,H HSA: Fraction above 4991 m/s,kT,O HSA using E: Fraction above 0.13 eV,integrate (2*sqrt(x/pi)*(1/(5.102E-20))^(3/2)*exp(-x/(5.102E-20))) from (2.08283e-20+3.04414E-21) to infinity
kB,1.38E-23,m2 kg s-2 K-1,,10104200,137.57,4.396E-07,0,,0,,,0.0000684,1.899E-21,,1.44E-05,,,10104200,131.27,4.607E-07,0,,0,,0.0000413,1.812E-21,8.06E-06,
m,1.67E-27,kg,,10129800,137.59,4.396E-07,0,,0,,,0.0000684,1.900E-21,,1.45E-05,,,10129800,131.21,4.609E-07,0,,0,,0.0000411,1.812E-21,8.06E-06,
SA,LSA,,,10129900,137.59,4.396E-07,0,,0,,,0.0000684,1.900E-21,,1.45E-05,,,10129900,131.21,4.609E-07,0,,0,,0.0000411,1.812E-21,8.06E-06,
,,,,10181100,137.63,4.394E-07,0,,0,,,0.0000687,1.900E-21,,1.45E-05,,,10181100,131.11,4.613E-07,0,,0,,0.0000407,1.810E-21,7.95E-06,
,,,,10181400,137.63,4.394E-07,0,,0,,,0.0000687,1.900E-21,,1.45E-05,,,10181400,131.11,4.613E-07,0,,0,,0.0000407,1.810E-21,7.95E-06,
,,,,10207100,137.64,4.394E-07,0,,0,,,0.0000687,1.900E-21,,1.45E-05,,,10207100,131.07,4.614E-07,0,,0,,0.0000406,1.810E-21,7.95E-06,
,,,,10489100,137.85,4.387E-07,0,,0,,,0.0000699,1.903E-21,,1.48E-05,,,10489100,131.11,4.613E-07,0,,0,,0.0000407,1.810E-21,7.95E-06,
,,,,10617400,137.94,4.384E-07,0,,0,,,0.0000704,1.904E-21,,1.49E-05,,,10617400,131.27,4.607E-07,0,,0,,0.0000413,1.812E-21,8.06E-06,
,,,,10643000,137.95,4.384E-07,0,,0,,,0.0000704,1.905E-21,,1.50E-05,,,10643000,131.3,4.606E-07,0,,0,,0.0000414,1.813E-21,8.12E-06,
,,,,10694400,137.99,4.383E-07,0,,0,,,0.0000706,1.905E-21,,1.50E-05,,,10694400,131.38,4.603E-07,0,,0,,0.0000417,1.814E-21,8.17E-06,
,,,,10771700,138.03,4.382E-07,0,,0,,,0.0000707,1.906E-21,,1.51E-05,,,10771700,131.51,4.599E-07,0,,0,,0.0000421,1.816E-21,8.29E-07,
,,,,11002700,138.17,4.377E-07,0,,0,,,0.0000716,1.908E-21,,1.53E-05,,,11002700,131.95,4.583E-07,0,,0,,0.0000438,1.822E-21,8.64E-06,
,,,,11490000,138.42,4.369E-07,0,,0,,,0.000073,1.911E-21,,1.56E-05,,,11490000,133.24,4.539E-07,0,,0,,0.0000486,1.840E-21,9.78E-06,
,,,,11567000,138.45,4.368E-07,0,,0,,,0.0000731,1.912E-21,,1.57E-05,,,11567000,133.51,4.530E-07,0,,0,,0.0000497,1.843E-21,9.98E-06,
,,,,11644000,138.48,4.367E-07,0,,0,,,0.0000733,1.912E-21,,1.57E-05,,,11644000,133.81,4.520E-07,0,,0,,0.0000509,1.847E-21,1.03E-05,
,,,,11746900,138.53,4.366E-07,0,,0,,,0.0000735,1.913E-21,,1.58E-05,,,11746900,134.28,4.504E-07,0,,0,,0.0000529,1.854E-21,1.07E-05,
,,,,11772400,138.54,4.365E-07,0,,0,,,0.0000737,1.913E-21,,1.58E-05,,,11772400,134.41,4.500E-07,0,,0,,0.0000534,1.856E-21,1.09E-05,
,,,,12260300,138.69,4.361E-07,0,,0,,,0.0000744,1.915E-21,,1.60E-05,,,12260300,140.9,4.292E-07,0,,0,,0.0000877,1.945E-21,1.92E-05,
